filename,Block_No,Seq_num,pageno,toppage,top,left,height,width,fonts_type,fonts_size,LABEL,Text
i1,1,1,1,50,114,36,15,307,FormataOTF-Reg,6,HF,"Received November 6, 2017, accepted December 3, 2017, date of publication December 11, 2017,date of current version February 14, 2018."
i1,2,2,1,50,136,36,5,139,GiovanniStd-BookItalic,5,HF,Digital Object Identifier 10.1109/ACCESS.2017.2782260
i1,3,3,1,50,169,36,72,362,FormataOTFCond-Md,21,TI,Vehicle Detection and Counting inHigh-Resolution Aerial Images UsingConvolutional Regression Neural Network
i1,4,4,1,50,261,36,26,305,FormataOTFMd,9,AU,HILAL TAYARA
i1,4,5,1,50,261,36,26,305,FormataOTFMd,7,BODY,1
i1,4,6,1,50,261,36,26,305,FormataOTFMd,9,AU,", KIM GIL SOO"
i1,4,7,1,50,261,36,26,305,FormataOTFMd,7,BODY,2
i1,4,8,1,50,261,36,26,305,FormataOTFMd,9,AU,", AND KIL TO CHONG"
i1,4,9,1,50,261,36,26,305,FormataOTFMd,7,BODY,1
i1,4,10,1,50,261,36,26,305,TimesLTStd-Roman,4,BODY,1
i1,4,11,1,50,261,36,26,305,TimesLTStd-Roman,6,AFF,"Department of Information and Electronics Engineering, Chonbuk National University, Jeonju 54896, South Korea"
i1,4,12,1,50,261,36,26,305,TimesLTStd-Roman,4,BODY,2
i1,4,13,1,50,261,36,26,305,TimesLTStd-Roman,6,AFF,"Institute of International Studies, Chonbuk National University, Jeonju 54896, South Korea"
i1,5,14,1,50,292,36,7,184,TimesLTStd-Roman,7,EM,Corresponding author: Kil To Chong (kitchong@jbnu.ac.kr)
i1,6,15,1,50,307,36,35,411,TimesLTStd-Roman,7,BODY,"This work was supported in part by BK21 PLUS, in part by the Brain Research Program through the National Research Foundation of"
i1,6,16,1,50,307,36,35,411,TimesLTStd-Roman,7,BODY,"Korea funded by the Ministry of Science, ICT and Future Planning under Grant NRF-2017M3C7A1044815, and in part by theMinistry of Trade, Industry and Energy and the Korea Institute for Advancement of Technology through theInternational Cooperative Research and Development Program under Grant N046200012."
i1,7,17,1,50,364,43,141,426,FormataOTF-Bold,9,AB,ABSTRACT
i1,7,18,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,"Vehicle detection and counting in aerial images have become an interesting research focussince the last decade. It is important for a wide range of applications, such as urban planning and trafﬁc"
i1,7,19,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,"management. However, this task is a challenging one due to the small size of the vehicles, their different types"
i1,7,20,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,"and orientations, and similarity in their visual appearance, and some other objects, such as air conditioning"
i1,7,21,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,"units on buildings, trash bins, and road marks. Many methods have been introduced in the literature for"
i1,7,22,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,solving this problem. These methods are either based on shallow learning or deep learning approaches.
i1,7,23,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,"However, these methods suffer from relatively low precision and recall rate. This paper introduces anautomated vehicle detection and counting system in aerial images. The proposed system utilizes convolution"
i1,7,24,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,neural network to regress a vehicle spatial density map across the aerial image. It has been evaluated on two
i1,7,25,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,"publicly available data sets, namely, Munich and Overhead Imagery Research Data Set. The experimental"
i1,7,26,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,"results show that our proposed system is efﬁcient and effective, and produces higher precision and recall rate"
i1,7,27,1,50,364,43,141,426,TimesLTStd-Roman,9,BODY,than the comparative methods.
i1,8,28,1,50,526,43,21,426,FormataOTF-Bold,9,KW,INDEX TERMS
i1,8,29,1,50,526,43,21,426,TimesLTStd-Roman,9,BODY,"Aerial images, convolution neural network (CNN), deep learning, regression, vehicle"
i1,8,30,1,50,526,43,21,426,TimesLTStd-Roman,9,BODY,detection.
i1,9,31,1,50,560,36,212,241,FormataOTF-Bold,8,H1,I. INTRODUCTION
i1,9,32,1,50,560,36,212,241,TimesLTStd-Roman,9,BODY,Vehicle detection and counting is important for many appli-
i1,9,33,1,50,560,36,212,241,TimesLTStd-Roman,9,BODY,"cations such as surveillance, trafﬁc management, and rescuetasks. The ability of on-line monitoring of vehicles distri-bution in the urban environments prevents trafﬁc jams andcongestions which in turn reduces air and noise pollution.In terms of surveillance, the accurate estimation of vehicles inparking lots or roads is essential for making right decisions.Therefore, this problem has attracted the attention of theresearchers in the recent years. However, vehicle detectionand counting is a challenging task due to many reasons suchas: small size of the vehicles, different types and orientations,"
i1,9,34,1,50,560,36,212,241,TimesLTStd-Roman,9,BODY,similarity in visual appearance of vehicles and some other
i1,9,35,1,50,560,36,212,241,TimesLTStd-Roman,9,BODY,"objects (e.g., air conditioning units on the buildings, trashbins, and road marks), and detection time in very high res-olution images is another challenge that researchers need totake in consideration. Fig. 1 shows vehicles in aerial images"
i1,9,36,1,50,560,36,212,241,TimesLTStd-Roman,9,BODY,and some of the aforementioned challenges.
i1,10,37,1,50,559,297,213,241,TimesLTStd-Roman,9,BODY,The solution for this task can be categorized into two
i1,10,38,1,50,559,297,213,241,TimesLTStd-Roman,9,BODY,"groups namely ﬁxed-ground sensors and image-based sen-sors. In ﬁxed-ground sensors, trafﬁc information and vehiclemonitoring are collected efﬁciently using different types ofﬁxed ground sensors such as stationary camera, radar sensors,bridge sensors, and induction loop [1], [2]. These sensorsgive a partial overview about vehicles density, parking lotssituation, and trafﬁc ﬂow. However, the overall informationof trafﬁc situation will not be available, which is importantfor road network monitoring and planning, trafﬁc statistics,and optimization. On the other hand, image-based sensorscome from two sources: satellites and airplanes or unmanned"
i1,10,39,1,50,559,297,213,241,TimesLTStd-Roman,9,BODY,aerial vehicles (UAV). Image-based sensors give an overall
i1,10,40,1,50,559,297,213,241,TimesLTStd-Roman,9,BODY,"overview of trafﬁc situation in the area of interest. This is thereason for adapting this type of sensors widely for monitoringvehicles [1], [3], [4]. Satellites provide images with sub-meter spatial resolution. Therefore, satellite images have been"
i1,10,41,1,50,559,297,213,241,TimesLTStd-Roman,9,BODY,"used for monitoring vehicles by many researches [2], [5], [6]."
i1,11,42,1,50,801,36,6,16,FormataOTF-Reg,6,BODY,2220
i1,12,43,1,50,793,151,21,271,FormataOTF-Reg,5,BODY,2169-3536
i1,12,45,1,50,793,151,21,271,FormataOTF-Reg,5,BODY,2017 IEEE. Translations and content mining are permitted for academic research only.
i1,12,46,1,50,793,151,21,271,FormataOTF-Reg,5,BODY,"Personal use is also permitted, but republication/redistribution requires IEEE permission.See http://www.ieee.org/publications_standards/publications/rights/index.html for more information."
i1,13,47,1,50,801,492,5,45,FormataOTF-Reg,5,BODY,"VOLUME 6, 2018"
i1,17,58,2,882,908,36,6,402,FormataOTF-Reg,6,BODY,H. Tayara
i1,17,59,2,882,908,36,6,402,FormataOTF-Italic,6,BODY,et al.
i1,17,60,2,882,908,36,6,402,FormataOTF-Reg,6,BODY,: Vehicle Detection and Counting in High-Resolution Aerial Images Using Convolutional Regression Neural Network
i1,18,61,2,882,948,297,57,241,TimesLTStd-Roman,9,BODY,"based CNNs have performed well in natural scene images,their performance in aerial images is limited due to the smallsize and different orientations of the vehicle, complex back-ground in aerial images, and difﬁculties in fast detection dueto the large size of the aerial images."
i1,19,62,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,We solve the problem of vehicle detection and countingas a supervised learning problem. We try to learn a mappingfunction between an image
i1,19,63,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,I
i1,19,64,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,(
i1,19,65,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,x
i1,19,66,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,) and a density map
i1,19,67,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,D
i1,19,68,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,(
i1,19,69,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,x
i1,19,70,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,"),denoted as"
i1,19,71,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,F
i1,19,72,2,882,1007,297,153,241,MTSYN,9,BODY,:
i1,19,73,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,I
i1,19,74,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,(
i1,19,75,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,x
i1,19,76,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,)
i1,19,77,2,882,1007,297,153,241,MTSYN,9,BODY,→
i1,19,78,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,D
i1,19,79,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,(
i1,19,80,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,x
i1,19,81,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,) where
i1,19,82,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,I
i1,19,83,2,882,1007,297,153,241,MTSYN,9,BODY,∈
i1,19,84,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,R
i1,19,85,2,882,1007,297,153,241,TimesLTStd-Italic,7,BODY,m
i1,19,86,2,882,1007,297,153,241,MTSYN,7,BODY,×
i1,19,87,2,882,1007,297,153,241,TimesLTStd-Italic,7,BODY,n
i1,19,88,2,882,1007,297,153,241,RMTMI,9,BODY,","
i1,19,89,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,and
i1,19,90,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,D
i1,19,91,2,882,1007,297,153,241,MTSYN,9,BODY,∈
i1,19,92,2,882,1007,297,153,241,TimesLTStd-Italic,9,BODY,R
i1,19,93,2,882,1007,297,153,241,TimesLTStd-Italic,7,BODY,m
i1,19,94,2,882,1007,297,153,241,MTSYN,7,BODY,×
i1,19,95,2,882,1007,297,153,241,TimesLTStd-Italic,7,BODY,n
i1,19,96,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,"as shown in Fig. 2. We solve the mapping problem by utilizingthe convolutional neural network (CNN) [14], [15]. A fullyconvolutional regression network (FCRN) has been proposedand evaluated on two publicly available datasets namely DLRMunich vehicle dataset provided by Remote Sensing Tech-nology Institute of the German Aerospace Center [12] andOverhead Imagery Research Data Set (OIRDS) dataset [16].The results of the proposed system have been compared with"
i1,19,97,2,882,1007,297,153,241,TimesLTStd-Roman,9,BODY,the state-of-the-art results and outperformed them.
i1,20,98,2,882,1163,297,57,241,TimesLTStd-Roman,9,BODY,The rest of the paper is organized as follows: Section II lists
i1,20,99,2,882,1163,297,57,241,TimesLTStd-Roman,9,BODY,the related works published recently in the literature.
i1,20,100,2,882,1163,297,57,241,TimesLTStd-Roman,9,BODY,Section III describes the proposed system. Section IV intro-
i1,20,101,2,882,1163,297,57,241,TimesLTStd-Roman,9,BODY,"duces datasets, evaluation procedures, and experimental"
i1,20,102,2,882,1163,297,57,241,TimesLTStd-Roman,9,BODY,results. This paper is concluded in Section V.
i1,21,103,2,882,1235,297,80,241,FormataOTF-Bold,8,H1,II. RELATED WORKS
i1,21,104,2,882,1235,297,80,241,TimesLTStd-Roman,9,BODY,A lot of researches have been carried out on vehicle detec-
i1,21,105,2,882,1235,297,80,241,TimesLTStd-Roman,9,BODY,tion and counting in aerial images over the years. Theseworks can be categorized into two main groups i.e. shallow-
i1,21,106,2,882,1235,297,80,241,TimesLTStd-Roman,9,BODY,learning-based methods and deep-learning-based methods.
i1,21,107,2,882,1235,297,80,241,TimesLTStd-Roman,9,BODY,"In this section, we brieﬂy introduce the latest works carried"
i1,21,108,2,882,1235,297,80,241,TimesLTStd-Roman,9,BODY,out in these two groups.
i1,22,109,2,882,1330,297,284,241,FormataOTFMdIt,8,H2,A. SHALLOW-LEARNING-BASED METHODS
i1,22,110,2,882,1330,297,284,241,TimesLTStd-Roman,9,BODY,The general strategy followed in this group relies on hand-
i1,22,111,2,882,1330,297,284,241,TimesLTStd-Roman,9,BODY,crafted features extraction followed by a classiﬁer or cascadeof classiﬁers. Moranduzzo and Melgani [9] proposed a sys-
i1,22,112,2,882,1330,297,284,241,TimesLTStd-Roman,9,BODY,tem for car counting in aerial images captured by UAV. They
i1,22,113,2,882,1330,297,284,241,TimesLTStd-Roman,9,BODY,have reduced search space by selecting the regions where cars
