filename,Block_No,Seq_num,pageno,toppage,top,left,height,width,fonts_type,fonts_size,LABEL,Text
m1,1,1,1,50,151,75,51,442,URWPalladioL-Ital,9,BODY,Article
m1,1,2,1,50,151,75,51,442,URWPalladioL-Bold,17,TI,Advances and Pitfalls in the Capillary ElectrophoresisAnalysis of Aggregates of Beta Amyloid Peptides
m1,2,3,1,50,217,76,11,172,URWPalladioL-Bold,9,AU,Luc Denoroy
m1,2,4,1,50,217,76,11,172,URWPalladioL-Bold,7,BODY,"1,"
m1,2,5,1,50,217,76,11,172,URWPalladioL-Bold,9,AU,* and Sandrine Parrot
m1,2,6,1,50,217,76,11,172,URWPalladioL-Bold,7,BODY,2
m1,3,7,1,50,235,82,6,3,URWPalladioL-Roma,6,BODY,1
m1,4,8,1,50,237,97,21,418,URWPalladioL-Roma,8,AFF,"BioRaNTeam, Lyon Neuroscience Research Center, INSERM U1028; CNRS UMR5292; Universit"
m1,4,9,1,50,237,97,21,418,VnURWPalladioL,8,BODY,é
m1,4,10,1,50,237,97,21,418,URWPalladioL-Roma,8,AFF,"de Lyon,F-69000 Lyon, France"
m1,5,11,1,50,259,82,10,381,URWPalladioL-Roma,6,BODY,2
m1,5,12,1,50,259,82,10,381,URWPalladioL-Roma,8,AFF,"NeuroDialytics Unit, Lyon Neuroscience Research Center, INSERM U1028; CNRS UMR5292;"
m1,6,13,1,50,273,97,8,288,URWPalladioL-Roma,8,BODY,Universit
m1,6,14,1,50,273,97,8,288,VnURWPalladioL,8,BODY,é
m1,6,15,1,50,273,97,8,288,URWPalladioL-Roma,8,AFF,"de Lyon, F-69000 Lyon, France; sandrine.parrot@univ-lyon1.fr"
m1,7,16,1,50,285,81,9,271,URWPalladioL-Bold,8,BODY,*
m1,7,17,1,50,285,81,9,271,URWPalladioL-Roma,8,EM,Correspondence: lucdenoroy@hotmail.com; Tel.: +33-6-75576400
m1,8,18,1,50,303,82,8,343,URWPalladioL-Roma,8,HF,Received: 20 October 2017; Accepted: 14 December 2017; Published: 22 December 2017
m1,9,19,1,50,325,81,172,437,URWPalladioL-Bold,9,AB,Abstract:
m1,9,20,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,Alzheimer’s disease is characterized by the accumulation of brain amyloid plaquescomposed of aggregates of amyloid
m1,9,21,1,50,325,81,172,437,EURM10,9,BODY,β
m1,9,22,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,(A
m1,9,23,1,50,325,81,172,437,EURM10,9,BODY,β
m1,9,24,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,) peptides. The present paper describes a novel andeasy-to-run capillary electrophoresis with laser-induced ﬂuorescence detection (CE-LIF) methodfor the speciﬁc analysis of ﬁbrillar forms of A
m1,9,25,1,50,325,81,172,437,EURM10,9,BODY,β
m1,9,26,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,aggregates obtained after in vitro incubation of A
m1,9,27,1,50,325,81,172,437,EURM10,9,BODY,β
m1,9,28,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,"1-40 monomer. For that purpose, an afﬁnity CE-LIF approach in which the ligand thioﬂavine Twas added to the running buffer has been used, leading to the separation and detection of variousﬁbrillar aggregates which migrated as spikes. The procedure has been optimized to get spikesonly corresponding to A"
m1,9,29,1,50,325,81,172,437,EURM10,9,BODY,β
m1,9,30,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,"aggregates, through the careful elimination of interfering factors and theelectrophoretic validation of the link between spikes and particulate material. This method exhibitedsemi-quantiﬁcation capabilities, led to the separation of A"
m1,9,31,1,50,325,81,172,437,EURM10,9,BODY,β
m1,9,32,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,ﬁbrillar aggregates of different sizesand showed that highly concentrated solutions of A
m1,9,33,1,50,325,81,172,437,EURM10,9,BODY,β
m1,9,34,1,50,325,81,172,437,URWPalladioL-Roma,9,BODY,peptides led to the formation of aggregates oflarger size than lower-concentrated solution did. Advances brought by this method as well as futuredevelopment needed to overcome its present limitations are discussed.
m1,10,35,1,50,512,82,24,436,URWPalladioL-Bold,9,KW,Keywords:
m1,10,36,1,50,512,82,24,436,URWPalladioL-Roma,9,KW,amyloid
m1,10,37,1,50,512,82,24,436,EURM10,9,BODY,β
m1,10,38,1,50,512,82,24,436,URWPalladioL-Roma,9,KW,peptides; peptides aggregates; capillary electrophoresis; laser-inducedﬂuorescence detection; thioﬂavine T; Alzheimer’s disease
m1,11,39,1,50,576,76,9,68,URWPalladioL-Bold,9,H1,1. Introduction
m1,12,40,1,50,596,76,91,443,URWPalladioL-Roma,9,BODY,The neurodegenerative Alzheimer’s disease (AD) is characterized by the accumulation of brainamyloid plaques that are mainly composed of ﬁbrillar aggregates of the amyloid
m1,12,41,1,50,596,76,91,443,EURM10,9,BODY,β
