filename,Block_No,Seq_num,pageno,toppage,top,left,height,width,fonts_type,fonts_size,LABEL,Text,Unnamed: 10
s1,1,1,1,50,83,51,17,120,VlqtgtAdvPTimes,7,HF,Business Research (2015) 8:301–332DOI 10.1007/s40685-015-0023-2,
s1,2,2,1,50,109,53,7,97,VlqtgtAdvPTimes,7,HF,O R I G I N A L R E S E A R C H,
s1,3,3,1,50,141,51,27,308,FktwwqAdvPTimesB,12,TI,Supply chain coordination by contracts under binomialproduction yield,
s1,4,4,1,50,185,51,11,85,FktwwqAdvPTimesB,9,AU,Josephine Clemens,
s1,4,5,1,50,185,51,11,85,FktwwqAdvPTimesB,6,BODY,1,
s1,5,6,1,50,185,140,11,78,TgkvlnAdvNPSTim-B,6,BODY,•,
s1,5,7,1,50,185,140,11,78,FktwwqAdvPTimesB,9,AU,Karl Inderfurth,
s1,5,8,1,50,185,140,11,78,FktwwqAdvPTimesB,6,BODY,1,
s1,6,9,1,50,264,51,17,311,VlqtgtAdvPTimes,7,HF,Received: 19 December 2014 / Accepted: 12 August 2015 / Published online: 2 September 2015,
s1,6,10,1,50,264,51,17,311,BfkxcmAdvPSSym,7,BODY,(cid:2),
s1,6,11,1,50,264,51,17,311,VlqtgtAdvPTimes,7,HF,The Author(s) 2015. This article is published with open access at Springerlink.com,
s1,7,12,1,50,304,51,285,337,FktwwqAdvPTimesB,9,AB,Abstract,
s1,7,13,1,50,304,51,285,337,VlqtgtAdvPTimes,9,BODY,"Supply chain coordination is enabled by adequately designed contractsso that decision making by multiple actors avoids efﬁciency losses in the supplychain. From the literature it is known that in newsvendor-type settings with randomdemand and deterministic supply the activities in supply chains can be coordinatedby sophisticated contracts while the simple wholesale price contract fails to achievecoordination due to the double marginalization effect. Advanced contracts aretypically characterized by risk sharing mechanisms between the actors, which havethe potential to coordinate the supply chain. Regarding the opposite setting withrandom supply and deterministic demand, literature offers a considerably smallerspectrum of solution schemes. While contract types for the well-known stochasti-cally proportional yield have been analyzed under different settings, other yielddistributions have not received much attention in the literature so far. However,practice shows that yield types strongly depend on the industry and the productionprocess that is considered. As consequence, they can deviate very much from the",
s1,7,14,1,50,304,51,285,337,VlqtgtAdvPTimes,9,BODY,"speciﬁc case of a stochastically proportional yield. This paper analyzes a buyer–supplier supply chain in a random yield, deterministic demand setting with pro-duction yield of a binomial type. It is shown how under binomially distributedyields risk sharing contracts can be used to coordinate buyer’s ordering and sup-plier’s production decision. Both parties are exposed to risks of overproduction andunder-delivery. In contrast to settings with stochastically proportional yield, how-ever, the impact of yield uncertainty can be quite different in the binomial yieldcase. Under binomial yield, the output uncertainty decreases with larger productionquantities while it is independent from lot sizes under stochastically proportional",
s1,7,15,1,50,304,51,285,337,VlqtgtAdvPTimes,9,BODY,"yield. Consequently, the results from previous contract analyses on other yield types",
s1,8,16,1,50,607,50,9,76,GhgnmdAdvPSSPS-AS,7,BODY,&,
s1,8,17,1,50,607,50,9,76,VlqtgtAdvPTimes,7,BODY,Josephine Clemens,
s1,9,18,1,50,619,65,7,91,VlqtgtAdvPTimes,7,EM,josephine.clemens@ovgu.de,
s1,10,19,1,50,636,51,5,2,VlqtgtAdvPTimes,5,BODY,1,
s1,11,20,1,50,638,65,17,306,VlqtgtAdvPTimes,7,AFF,"Faculty of Economics and Management, Otto-von-Guericke University Magdeburg, POB 4120,39106 Magdeburg, Germany",
s1,12,21,1,50,668,348,14,39,NbhgjyAdvSPRING-R,14,BODY,123,
s1,13,22,2,766,799,51,7,11,VlqtgtAdvPTimes,7,BODY,302,
s1,14,23,2,766,799,267,7,120,VlqtgtAdvPTimes,7,BODY,Business Research (2015) 8:301–332,
s1,15,24,2,766,823,51,93,337,VlqtgtAdvPTimes,9,BODY,"may not hold any longer. The current analytical study reveals that, like understochastically proportional yield, coordination is impeded by double marginalizationif a simple wholesale price contract is applied. However, more sophisticated con-tracts which penalize or reward the supplier can change the risk distribution so thatsupply chain coordination is possible also under binomial yield. In this context,many contract properties from planning under stochastically proportional yieldcarry over. Nevertheless, numerical examples reveal that a misspeciﬁcation of theyield type can considerably downgrade the extent of supply chain coordination.",
s1,16,25,2,766,931,51,22,305,FktwwqAdvPTimesB,9,KW,Keywords,
s1,16,26,2,766,931,51,22,305,VlqtgtAdvPTimes,9,BODY,Supply chain coordination,
s1,16,27,2,766,931,51,22,305,PkysmpAdvP4C4E74,9,BODY,(cid:2),
s1,16,28,2,766,931,51,22,305,VlqtgtAdvPTimes,9,BODY,Contracts,
s1,16,29,2,766,931,51,22,305,PkysmpAdvP4C4E74,9,BODY,(cid:2),
s1,16,30,2,766,931,51,22,305,VlqtgtAdvPTimes,9,BODY,Binomial yield,
s1,16,31,2,766,931,51,22,305,PkysmpAdvP4C4E74,9,BODY,(cid:2),
s1,16,32,2,766,931,51,22,305,VlqtgtAdvPTimes,9,BODY,Risksharing,
s1,17,33,2,766,976,51,10,70,FktwwqAdvPTimesB,10,H1,1 Introduction,
s1,18,34,2,766,1001,51,249,337,VlqtgtAdvPTimes,9,BODY,"Uncertainties are widely spread in supply chains with demand and supplyuncertainties being the most common types. Regarding the supply side, businessrisks primarily result from yield uncertainty which is typical for a variety ofbusiness sectors. It frequently occurs in the agricultural sector or in the chemical,electronic and mechanical manufacturing industries (see Gurnani et al. 2000; Joneset al. 2001; Kazaz 2004; Nahmias 2009). Here, random supply can appear due todifferent reasons such as weather conditions, production process risks or imperfectinput material. In a supply chain context, yield or supply randomness obviouslyinﬂuences the risk position of the actors and, therefore, has an effect on the buyer–supplier relationship in a supply chain. The question that arises is to what extentthe decisions of the single supply chain actors and therandom yields affectperformance of the whole supply chain. In this study, we limit ourselves to aproblem setting with deterministic demand. This is to focus the risk analysis ofcontracting on the random yield aspect which is of practical relevance for",
