fontstyle,italic,Bold
VlqtgtAdvPTimes,0,0
FktwwqAdvPTimesB,0,1
TgkvlnAdvNPSTim-B,0,1
BfkxcmAdvPSSym,0,0
GhgnmdAdvPSSPS-AS,0,0
NbhgjyAdvSPRING-R,0,0
PkysmpAdvP4C4E74,0,0
FvggtbAdvPTimesI,1,0
TrjhxxAdvPSMP10,0,0
LvkjydAdvP4C4E51,0,0
MsjvrbAdvP4C4E59,0,0
MxwppxAdvP4C4E46,0,0
RvnccsAdvPSMP4,0,0
SkdqdcAdvPSMPE2,0,0
VmvhgjAdvPSMP13,0,0
VkjvmvAdvTir_symb,0,0
JlyvpvMyriadPro-Regular,0,0
TggkckMyriadPro-It,1,0
FtprclMyriadPro-Bold,0,1
JkbscwMyriadPro-Light,0,0
VdpvbqMyriadPro-Semibold,0,1
JtnwyvMTSY,0,0
DhgdqbWarnockPro-Regular,0,0
JfmtwlWarnockPro-Regular,0,0
LbpgltMTSYN,0,0
SyccdvCMEX10,0,0
GsbkccTimes-Roman,0,0
JndkfnWarnockPro-Regular,0,0
DhgqrjMTSYN,0,0
QxlwykWarnockPro-Regular,0,0
PxcljwMTSYN,0,0
QsxvxyWarnockPro-Regular,0,0
QddkjdWarnockPro-Regular,0,0
NbwpvmMTGU,0,0
KxxqpxCalibri,0,0
YqmmjlCalibri-Bold,0,1
SbbspmTimesNewRomanPSMT,0,0
YxdvvlTimesNewRomanPSMT,0,0
GlywkmTimesNewRomanPSMT,0,0
QnnfbqWarnockPro-Regular,0,0
GqdwjbMTSYN,0,0
YycvfrCMEX10,0,0
LshvcvMTMI,0,0
SscqygWarnockPro-It,1,0
RyrpftWarnockPro-It,1,0
PdpyvbTimesNewRomanPSMT,0,0
QxnmjvTimesNewRomanPSMT,0,0
JjjpytTimesNewRomanPSMT,0,0
BdfbgyMTMI,0,0
PglxvnSPSMTSYBBold,0,1
GdkxsmArialMT,0,0
HctmwgArial-BoldMT,0,1
PxxhgdArial-ItalicMT,1,0
AdvPTimes,0,0
AdvPTimesB,0,1
AdvNPSTim-B,0,1
AdvPSSym,0,0
AdvPSSPS-AS,0,0
AdvP4C4E74,0,0
AdvSPRING-R,0,0
TimesNewRomanPSMT,0,0
AdvPTimesI,1,0
AdvPSMP10,0,0
AdvTir_symb,0,0
MyriadPro-Regular,0,0
MyriadPro-It,1,0
MyriadPro-Bold,0,1
MyriadPro-Light,0,0
EuclidSymbol-Bold,0,1
MTSY,0,0
MyriadPro-LightIt,1,0
MyriadPro-Semibold,0,1
WarnockPro-Regular,0,0
WarnockPro-It,1,0
WarnockPro-Bold,0,1
ArialMT,0,0
Arial-BoldMT,0,1
MyriadPro-SemiboldIt,1,1
MyriadPro-BoldIt,1,1
EuclidSymbol-BoldItalic,1,1
WarnockPro-BoldIt,1,1
CqfwtpAdvPTimes,0,0
JclhgmAdvPTimesB,0,1
WrdcttAdvNPSTim-B,0,1
JcvnxqAdvPSSym,0,0
GqyvgyAdvP4C4E74,0,0
WpqtkdAdvPSSPS-AS,0,0
NrfsbpAdvSPRING-R,0,0
YfdskgAdvPTimesI,1,0
GsdwhrAdvTir_symb,0,0
GvfdshAdvPi1,0,0
RvkxggMyriadPro-Regular,0,0
TwncftMyriadPro-It,1,0
FsqfvyMyriadPro-Bold,0,1
QvryywMyriadPro-Light,0,0
VhrwtvMyriadPro-LightIt,1,0
MmjngyMyriadPro-Semibold,0,1
RpspwhWarnockPro-Regular,0,0
CswnvhWarnockPro-Bold,0,1
PpfrbgMTSYN,0,0
