pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
12,10224,7,0,0,0,0,0,0,0,0,0,0,ACK,(cid:48),m12
12,10234,7,0,0,0,0,0,0,0,0,0,0,ACK,−,m12
12,10234,7,0,0,0,0,0,0,0,0,0,0,ACK,1,m12
12,10234,7,0,0,0,0,0,0,0,0,0,0,ACK,=,m12
12,10234,7,0,0,0,0,0,0,0,0,0,0,ACK,1,m12
12,10239,7,0,0,0,0,0,0,0,0,0,0,ACK,(cid:48),m12
12,10234,7,0,0,0,0,0,0,0,0,0,0,ACK,=,m12
12,10234,7,0,0,0,0,0,0,0,0,0,0,ACK,+,m12
12,10234,7,0,0,0,0,0,0,0,0,0,0,ACK,1,m12
14,12097,8,0,0,0,0,0,0,0,0,0,1,ACK,2014,m15
8,6384,8,0,0,0,0,0,0,0,0,0,1,ACK,2009,m19
12,10244,12,0,0,0,0,0,0,0,0,0,0,ACK,Volume fraction of dispersed-phase (,m22
12,10244,12,0,0,0,0,0,0,0,0,0,0,ACK,ϕ,m22
12,10244,12,0,0,0,0,0,0,0,0,0,0,ACK,),m22
4,3285,7,0,0,0,0,0,0,0,0,0,0,ACK,=,m24
4,3285,7,0,0,0,0,0,0,0,0,0,0,ACK,1,m24
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,4,m24
4,3285,7,0,0,0,0,0,0,0,0,0,0,ACK,=,m24
4,3285,7,0,0,0,0,0,0,0,0,0,0,ACK,1,m24
8,6384,8,0,0,0,0,0,0,0,0,0,1,ACK,2001,m25
9,7315,8,0,0,0,0,0,0,0,0,0,1,ACK,2015,m26
9,7315,8,0,0,0,0,0,0,0,0,0,1,ACK,2015,m26
9,7482,8,0,0,0,0,0,0,0,0,0,1,ACK,2017,m26
10,8829,8,0,0,0,0,0,0,0,0,0,1,ACK,Conﬂicts of Interest:,m30
9,7478,8,0,0,0,0,0,0,0,0,0,1,ACK,Figure 6.,m31
9,7478,8,0,0,0,0,0,0,0,0,0,1,ACK,a,m31
9,7478,8,0,0,0,0,0,0,0,0,0,1,ACK,b,m31
10,8465,8,0,0,0,0,0,0,0,0,0,1,ACK,2008,m31
9,7315,8,0,0,0,0,0,0,0,0,0,1,ACK,2004,m32
9,7482,8,0,0,0,0,0,0,0,0,0,1,ACK,2005,m32
4,2964,7,0,0,0,0,0,0,0,0,0,1,ACK,2016,m35
25,19579,8,0,0,0,0,0,0,0,0,0,1,ACK,Reference,m35
25,19579,8,0,0,0,0,0,0,0,0,0,1,ACK,Analytes,m35
25,19579,8,0,0,0,0,0,0,0,0,0,1,ACK,Sample,m35
25,19579,8,0,0,0,0,0,0,0,0,0,1,ACK,Sample Preparation,m35
25,19574,8,0,0,0,0,0,0,0,0,0,1,ACK,Analytical,m35
25,19574,8,0,0,0,0,0,0,0,0,0,1,ACK,Technique,m35
25,19574,8,0,0,0,0,0,0,0,0,0,1,ACK,"LOD, LOQ, CC",m35
25,19574,8,0,0,0,0,0,0,0,0,0,1,ACK,",",m35
25,19574,8,0,0,0,0,0,0,0,0,0,1,ACK,CC,m35
25,19579,8,0,0,0,0,0,0,0,0,0,1,ACK,Recovery %,m35
6,4650,8,0,0,0,0,0,0,0,0,0,1,ACK,Gap (eV),m38
6,4650,8,0,0,0,0,0,0,0,0,0,1,ACK,MP,m38
6,5039,9,0,0,0,0,0,0,0,0,0,1,ACK,G,m38
12,10252,7,0,0,0,0,0,0,0,0,0,0,ACK,-1,m38
12,10252,7,0,0,0,0,0,0,0,0,0,0,ACK,ω,m38
12,10252,7,0,0,0,0,0,0,0,0,0,0,ACK,V,m38
12,10252,7,0,0,0,0,0,0,0,0,0,0,ACK,Å,m38
12,10216,7,0,0,0,0,0,0,0,0,0,0,ACK,-1,m38
12,10216,7,0,0,0,0,0,0,0,0,0,0,ACK,ω,m38
12,10216,7,0,0,0,0,0,0,0,0,0,0,ACK,V,m38
12,10216,7,0,0,0,0,0,0,0,0,0,0,ACK,Å,m38
14,12095,8,0,0,0,0,0,0,0,0,0,1,ACK,Acknowledgments:,m40
12,10481,8,0,0,0,0,0,0,0,0,0,1,ACK,2009,m42
9,7315,8,0,0,0,0,0,0,0,0,0,1,ACK,2013,m43
8,6604,7,0,0,0,0,0,0,0,0,0,1,ACK,2017,m45
14,12089,8,0,0,0,0,0,0,0,0,0,1,ACK,2001,m45
14,12089,8,0,0,0,0,0,0,0,0,0,1,ACK,2010,m45
14,12089,8,0,0,0,0,0,0,0,0,0,1,ACK,2011,m45
14,12089,8,0,0,0,0,0,0,0,0,0,1,ACK,2014,m45
14,12089,8,0,0,0,0,0,0,0,0,0,1,ACK,2017,m45
