pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,107,23,0,0,0,0,0,0,0,0,0,0,TI,Development and Evaluation of a 7-DOFHaptic Interface,i11
1,109,23,0,0,0,0,0,0,0,0,0,0,TI,A Comprehensive Algorithm for EstimatingLithium-Ion Battery Parameters From Measurements,i12
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,for,i12
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,to,i12
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,do,i12
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,calculate,i12
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,if,i12
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,then,i12
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,end ifif,i12
1,169,21,0,0,0,0,0,0,0,0,0,0,TI,Dimension Reduction of Channel CorrelationMatrix Using CUR-Decomposition Techniquefor 3-D Massive Antenna System,i13
5,3516,9,0,0,0,0,0,0,0,0,0,1,TI,A,i13
1,169,21,0,0,0,0,0,0,0,0,0,0,TI,Adaptive Semi-Periodically Intermittent and LagSynchronization Control of Neural NetworksWith Mixed Delays,i14
1,169,21,0,0,0,0,0,0,0,0,0,0,TI,Fast Discrepancy Identification forRFID-Enabled IoT Networks,i15
1,169,21,0,0,0,0,0,0,0,0,0,0,TI,Enabling Adaptability in Web Forms Basedon User Characteristics Detection ThroughA/B Testing and Machine Learning,i16
5,4008,9,0,0,0,0,0,0,0,0,0,0,TI,"Regarding the ﬁrst attempt to build the best predictivemodel, the researchers used all the variables (excluding the",i16
5,4008,9,0,0,0,0,0,0,0,0,0,0,TI,cleaned ones applying the rules deﬁned in the methods,i16
5,4008,9,0,0,0,0,0,0,0,0,0,0,TI,"sections). As presented in https://github.com/juan-cb/paper-ieeeAccess-2017/blob/master/machinelearning-results.ipynb[26], the predictive model generated had an average precisionof 0.79 (Table 2 shows the results and explanations of the",i16
5,4008,9,0,0,0,0,0,0,0,0,0,0,TI,"results metrics) in predicting whether users will ﬁnalize theweb form before starting it (in fact, this 0.79 is a fairly good",i16
