filename,top,Text
s11,2688,Name Abbrev. RT (min) m/z Rev‑dot
s13,2677,%
s13,2682,50 4540 35 3025 20 151050
s13,4048,20
s13,4061,10
s14,4620,"20. He XP, Deng Q, Cai L, Wang CZ, Zang Y, Li J, Chen GR, Tian H: Fluorogenicresveratrol-confined graphene oxide for economic and rapid detectionof Alzheimer ’ s disease. 2014, 6: 5379 – 5382.Sun X, Zhu B, Ji DK, Chen Q, He XP, Chen GR, James TD: Selectivefluorescence detection of monosaccharides using a material compositeformed between graphene oxide and boronate-based receptors. 2014, 6: 10078 – 10082."
s15,4622,- - - 3.79(s) 55.8 3.85
s17,3818,) ) R
s17,3820,Compounds UV (λ ) R (min) Linear regresion LOD (µg mL LOQ (µg mL
s17,4018,Table 5  Total  phenolic  content  and  some  separated  phenolic  compounds  from  ethanol  extract  of P.  speciosa seed  col-lected from different locations of Malaysia
s17,5699,Bacterial strains Perak Negeri Sembilan Johor
s17,6193,6.
s19,3813,Fig. 3
s19,5705,6
s19,5715,28
s19,6183,"14. Goodarzi, V., Zamani, H., Bajuli, L., Moradshah, A.: Evaluationof antioxidant potential and reduction capacity of some plantextracts in silver nanoparticle synthesis. Mol. Biol. Res. Com- mun. (3), 165–174 (2014) 26. Shankar, S.S., Ahmad, A., Parsricha, R., Sastry, M.: Bioreductionof chloroaurate ions by geranium leaves and its endophytic fun-gus yields gold nanoparticles of different shapes. J. Mater. Chem. , 1822–1826 (2003)"
s21,5313,Primidone 0.06 0.14 0.08
s21,5318,−
s21,5325,Estrone 0.87 0.82 0.05
s21,6185,−
s21,6191,Griseofulvin 0.90 1.25 0.35
s21,7985,log S
s21,10173,Boobier
s21,10174,Page 13 of 14
s21,11114,"Dempster–Shafer theory. IEEE Trans Syst Man Cybern 25:804–81360.  Hopfield JJ (1988) Artificial neural networks. IEEE Circuits Devices Mag 70.  Comer J, Judge S, Matthews D, Towers L, Falcone B, Goodman J et al"
s22,2632,Table 1 Supported metal nanoparticles for catalytic formic acid decomposition at mild conditions
s22,5310,cell technologies. Nano Today 8:577–597
s22,5319,"4. Aﬁf A, Radenahmad N, Cheok Q, Shams S, Kim JH, Azad AK(2016) Ammonia-fed fuel cells: a comprehensive review. RenewSustain Energy Rev 60:822–835"
s23,5526,Table 2
s23,5695,Fig. 6
s23,5996,Simple dehydrogenation of ethylbenzene and coupling of EB dehydrogenation with NB hydrogenation over various Pd/MgAl O catalysts at 823 K
s24,5703,RS+BG (25:75)
s24,5718,RS+BG (50:50)
s24,6499,Cellulose
s25,2678,Relevant characteristics Source
s25,3784,80
s25,3814,60
s25,3827,R
s25,3942,Fig. 1 a b
s25,5542,200
s25,5757,Fig. 4 a b
s26,3182,CP
s27,7742,100
s27,10173,Skinnider
s27,10174,Page 13 of 15
s27,11114,"4.  Cereto-Massague A, Ojeda MJ, Valls C, Mulero M, Garcia-Vallve S, PujadasG (2015) Molecular fingerprint similarity search in virtual screening.Methods 71:58–63"
s27,11955,42.  Walsh CT (2015) A chemocentric view of the natural product inventory.
s27,12045,Recent developments of the chemistry development kit (CDK) - anopen-source java library for chemo- and bioinformatics. Curr Pharm Des12(17):2111–2120
s28,6192,12.
s28,6989,35.
s29,7742,thermotolerant isolated from cow dung microflora. AgricRes 1:273–279
s30,1792,Piezometer
s30,2269,Fig. 2
s30,2632,Table 1 Relevant operation performance parameters of the device
s30,5498,Open Access
s31,2689,"Parameters, average value Vermicompost concentration F value"
s31,2705,0 t/ha (control) 2.5 t/ha 3.75 t/ha 5 t/ha
s31,3616,N
s31,3789,W
s31,4945,Fig. 2 A B C D
s32,2710,A
s32,4091,1000 2000 3000 4000 5000 1850 1900 2100 2150 205020001950
s32,4375,26
s32,4945,Wavelength (nm)
s33,5213,4.0 Mg-ZSM-5-AR 0.241 0.788 1.029
