pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
4,2869,7,0,0,0,0,0,0,0,0,0,1,ACK,Figure 1,s13
8,6676,7,0,0,0,0,0,0,0,0,0,1,ACK,Figure 5,s13
6,4941,7,0,0,0,0,0,0,0,0,0,0,ACK,9.,s14
4,2964,7,0,0,0,0,0,0,0,0,0,1,ACK,Fig. 3,s15
6,4941,7,0,0,0,0,0,0,0,0,0,0,ACK,4.,s16
4,3284,7,0,0,0,0,0,0,0,0,0,0,ACK,not detected,s17
8,6392,8,0,0,0,0,0,0,0,0,0,1,ACK,10,s19
8,6392,8,0,0,0,0,0,0,0,0,0,1,ACK,30,s19
8,6382,8,0,0,0,0,0,0,0,0,0,1,ACK,102,s19
13,10228,7,0,0,0,0,0,0,0,0,0,0,ACK,1.,s21
13,10237,7,0,0,0,0,0,0,0,0,0,0,ACK,"Savjani KT, Gajjar AK, Savjani JK (2012) Drug solubility: importanceand enhancement techniques. ISRN Pharm 2012:195727. https://doi.org/10.5402/2012/195727Lipinski CA, Lombardo F, Dominy BW, Feeney PJ (2001) Experimentaland computational approaches to estimate solubility and permeabil-ity in drug discovery and development settings. Adv Drug Deliv Rev46(1–3):3–26Simon DI, Brosius FC, Rothstein DM (1990) Sulfadiazine crystalluria revis-ited: the treatment of Toxoplasma encephalitis in patients with acquiredimmunodeficiency syndrome. Arch Intern Med 150:2379–2384",s21
13,10228,7,0,0,0,0,0,0,0,0,0,0,ACK,"29.  Burbidge R, Trotter M, Buxton B, Holden S (2001) Drug design by machinelearning: support vector machines for pharmaceutical data analysis.Comput Chem 26:5–14",s21
13,10255,7,0,0,0,0,0,0,0,0,0,0,ACK,30.  Lavecchia A (2015) Machine-learning approaches in drug discovery:,s21
8,6674,7,0,0,0,0,0,0,0,0,0,1,ACK,Figure 6,s24
5,3904,7,0,0,0,0,0,0,0,0,0,1,ACK,0,s25
8,6664,7,0,0,0,0,0,0,0,0,0,1,ACK,Figure 4,s26
6,4942,7,0,0,0,0,0,0,0,0,0,0,ACK,CDK (graph−only),s27
6,4942,7,0,0,0,0,0,0,0,0,0,0,ACK,ECFP0,s27
6,4942,7,0,0,0,0,0,0,0,0,0,0,ACK,ECFP6,s27
6,4942,7,0,0,0,0,0,0,0,0,0,0,ACK,FCFP4,s27
6,4942,7,0,0,0,0,0,0,0,0,0,0,ACK,Klekota−Roth,s27
6,4942,7,0,0,0,0,0,0,0,0,0,0,ACK,PUBCHEM,s27
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,Titration curves (presented by square points) and species distribution of the complexes formed in H,s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,- VO(IV),s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,–,s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,MCCh (DD = 0.977)system.,s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,C,s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,(mol L,s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,) = 7.0 × 10,s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,. Ligand to metal ratio,s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,a),s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,"2:1,",s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,b),s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,"5:1,",s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,c),s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,"8:1,",s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,d),s28
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,10:1. Dotted points correspond to the pH range of visible precipitation.,s28
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,*,s31
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,< 0,s31
8,6591,7,0,0,0,0,0,0,0,0,0,1,ACK,Ethics approval and consent to participate,s32
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,Diagrammatic rendering of ABTS peroxidation catalyzed by a G-quadruplex-hemin DNAzyme.,s38
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,"This sketch of the G-quadruplexrepresents Pu39WT, which was induced into a parallel G-quadruplex",s38
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,(B),s38
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,from a mixed hybrid one,s38
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,(A),s38
4,3291,7,0,0,0,0,0,0,0,0,0,0,ACK,after incubation with hemin.,s38
4,2934,7,0,0,0,0,0,0,0,0,0,1,ACK,Figure 1,s47
4,3288,7,0,0,0,0,0,0,0,0,0,0,ACK,194,s47
5,3587,7,0,0,0,0,0,0,0,0,0,1,ACK,m,s47
4,2869,7,0,0,0,0,0,0,0,0,0,1,ACK,Author details,s48
4,2923,7,0,0,0,0,0,0,0,0,0,1,ACK,Acknowledgments,s48
4,2950,7,0,0,0,0,0,0,0,0,0,1,ACK,Competing interests,s48
