filename,top,Text
e10,2420,Table 1
e10,2876,Table 2
e10,3492,Table 3
e10,3633,Table 4
e11,3360,", (3), 70–74."
e12,1794,"IFAC ICONS 2013September 2-4, 2013. Chengdu, China 15 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 16 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 17 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 15 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 16 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 17"
e12,2640,"IFAC ICONS 2013September 2-4, 2013. Chengdu, China 16 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 17 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 16 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 17"
e12,2667,"IFAC ICONS 2013September 2-4, 2013. Chengdu, China"
e15,2638,1.N PO2.H 3.Cl4.NO 5.Br6.NO
e15,4377,References
e17,2707,3.4. Chemical properties of SMS
e18,2418,Pyrolysis
e18,2639,1.2 2
e18,2743,Fig. 2.
e18,4620,One of the main points of the proposed method was thedilution of the used lubricating oils with a convenient solvent inorder to decrease the viscosity of the samples and permit theiremulsi ﬁ cation. Toluene was chosen for this purpose and a volu-metric percentage of 20% v/v of solvent was enough to give stableemulsions.
e21,1792,"both new users and locations. As long as the newly added usersor locations have the appropriate descriptive content, theycan be handled effectively. However, content-based recom-mendation systems have many drawbacks with regard toLBSNs: 1) content-based recommendation systems do not con-sider the aggregated community opinions (inferred from users),which may result in low-quality recommendations; and 2)content-based recommendation systems require that the struc-tured information for both users and locations be created andmaintained, which can be costly, especially in LBSNs in whichthe majority of the content (such as user proﬁles and loca-tion tags) is generated by the users. information about users. In real time, user information dataare huge, so we are going to analyse a recommender systemwith big data. Data in a data warehouse are unmodiﬁed andconsistent. Data formats are standardised through data ware-house to generate reports, and dashboards to forecast trendsand predict the future. In data warehouse, data are inte-grated and provide interactive tools to users. Datasets for rec-ommender systems play an important in LBSN to providerecommendations to users. To provide recommendation, datahave to be available any time and need to be distributed. Ourobjective is to analyse whether data warehouse or big datais better for recommender systems. This can be done in twoways: qualitative and quantitative. Our analysis was quali-tative, based on few parameters such as parallel processingand multimodal interface."
e21,2636,"all data are centralised. Massive data sets are used to studythe location of the user, but these data do not ﬁt in data ware-house. Big data has been a boon to these approaches."
e21,2641,Table 1
e23,3361,"D 1,153,213.27 D 1,199,991.39 D 783,740.70"
e23,3363,Inﬂow from spectators
e24,4619,"[11] J. Jose Camargo-Vega, J. Felipe Camargo-Ortega, L. Joyanes-Aguilar, Knowing the Big Data, Revista Facultad de Ingenieria 24(38) (2015)"
e25,2641,Table 3
e25,3485,Table 4
e26,1451,Table 3
e26,1528,Table 1
e26,1792,Table 4
e26,2636,Table 5
e26,2930,Table 6
e26,3480,Table 7
e26,3628,Table 8
e27,3478,Fig. 1.
e3,4089,"Table 1. CM views (brief summary, simplified views)."
e31,1514,Table 1
e31,1548,Analyte Emission line (nm)
e31,1797,Table 2
e31,1823,Variable Lower level( 1) Higher level( 1)
e31,2900,Coded Real Coded Real
e31,2917,CCD
e31,3484,Table 6
e31,3612,Table 7
e33,1689,Table 1
