pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
4,2947,7,0,0,0,0,0,0,0,0,0,0,RE,0.8,e18
4,3084,7,0,0,0,0,0,0,0,0,0,1,RE,Concentration of HNO,e18
4,3084,7,0,0,0,0,0,0,0,0,0,1,RE,(mol L,e18
4,3084,7,0,0,0,0,0,0,0,0,0,1,RE,),e18
4,3104,7,0,0,0,0,0,0,0,0,0,1,RE,Table 1 - Summary of operationalisation of variables.,e22
5,3551,7,0,0,0,0,0,0,0,0,1,1,RE,4.2. Results of logistic regression analysis,e22
6,4763,7,0,0,0,0,0,0,0,0,0,1,RE,Appendix,e26
6,4763,7,0,0,0,0,0,0,0,0,0,1,RE,A.,e26
6,4763,7,0,0,0,0,0,0,0,0,0,1,RE,Supplementary,e26
6,4763,7,0,0,0,0,0,0,0,0,0,1,RE,data,e26
6,4698,8,0,0,0,0,0,0,0,0,0,0,RE,PC1 (50 %),e31
4,2947,6,0,0,0,0,0,0,0,0,0,0,RE,MAN-FRU,e32
4,2947,6,0,0,0,0,0,0,0,0,0,0,RE,Linear,e32
4,2947,6,0,0,0,0,0,0,0,0,0,0,RE,0.0007,e32
4,2947,6,0,0,0,0,0,0,0,0,0,0,RE,0.1304,e32
4,3037,7,0,0,0,0,0,0,0,0,0,1,RE,Theorem,e36
4,3037,7,0,0,0,0,0,0,0,0,0,1,RE,5,e36
4,3083,7,0,0,0,0,0,0,0,0,0,1,RE,Acknowledgements,e36
4,3136,7,0,0,0,0,0,0,0,0,0,1,RE,References,e36
4,3030,7,0,0,0,0,0,0,0,0,0,1,RE,"26  Peter Murphy, “Design Re-search: Aesthetic Epistemologyand Explanatory Knowledge,”",e37
4,3030,7,0,0,0,0,0,0,0,0,1,1,RE,"She Ji: The Journal of Design,Economics, and Innovation",e37
4,3030,7,0,0,0,0,0,0,0,0,0,1,RE,"3, no.2 (2017): 117–32, DOI: https://doi.org/10.1016/j.sheji.2017.09.002.",e37
4,3104,7,0,0,0,0,0,0,0,0,0,1,RE,"27  Mario Bunge,",e37
4,3104,7,0,0,0,0,0,0,0,0,1,1,RE,The Dictionary ofPhilosophy,e37
4,3104,7,0,0,0,0,0,0,0,0,0,1,RE,"(Amherst: PrometheusBooks, 1999).",e37
4,3141,7,0,0,0,0,0,0,0,0,0,1,RE,"28  Ron Cowen, “This AncientBabylonian Tablet May Containthe First Evidence of Trigonom-etry,”",e37
4,3141,7,0,0,0,0,0,0,0,0,1,1,RE,Science,e37
4,3141,7,0,0,0,0,0,0,0,0,0,1,RE,", August 24, 2017,http://www.sciencemag.org/news/2017/08/ancient-babyloni-an-tablet-may-contain-first-evi-dence-trigonometry; University ofNew South Wales, “MathematicalMystery of Ancient BabylonianClay Tablet Solved,”",e37
4,3141,7,0,0,0,0,0,0,0,0,1,1,RE,phys.org,e37
4,3141,7,0,0,0,0,0,0,0,0,0,1,RE,",August 24, 2017, https://phys.org/news/2017-08-mathematical-mys-tery-ancient-babylonian-clay.html;Maev Kennedy, “MathematicalSecrets of Ancient Tablet Un-locked after Nearly a Century ofStudy,”",e37
4,3141,7,0,0,0,0,0,0,0,0,1,1,RE,The Guardian,e37
4,3141,7,0,0,0,0,0,0,0,0,0,1,RE,", August 24,2017, https://www.theguardian.com/science/2017/aug/24/math-",e37
4,3141,7,0,0,0,0,0,0,0,0,0,1,RE,ematical-secrets-of-ancient-tab-,e37
4,3141,7,0,0,0,0,0,0,0,0,0,1,RE,let-unlocked-after-nearly-a-centu-ry-of-study.,e37
5,3628,7,0,0,0,0,0,0,0,0,0,1,RE,"30  John Stachel discussesEinstein’s article in depth in“Einstein on Brownian Motion.”Stachel,",e37
5,3628,7,0,0,0,0,0,0,0,0,1,1,RE,Einstein’s MiraculousYear,e37
5,3628,7,0,0,0,0,0,0,0,0,0,1,RE,", 73–84.",e37
6,5162,9,0,0,0,0,0,0,0,0,0,1,RE,80,e37
5,3625,7,0,0,0,0,0,0,0,0,0,1,RE,"3  For example, see Vijay Kumar, “A Process for Practicing Design",e44
5,3635,7,0,0,0,0,0,0,0,0,0,1,RE,"Innovation,”",e44
5,3635,7,0,0,0,0,0,0,0,0,1,1,RE,Journal of Business Strategy,e44
5,3635,7,0,0,0,0,0,0,0,0,0,1,RE,"30, no. 2/3 (2009): 91–100,DOI:",e44
5,3635,7,0,0,0,0,0,0,0,0,0,1,RE,https://doi.org/10.1108/02756660910942517,e44
