filename,top,Text
m10,3813,Table 1.
m10,3943,Table 2.
m10,4056,Table 3.
m10,4163,Table 4.
m10,5529,Table 5.
m10,5774,Table 6.
m10,7539,Table 7.
m10,7784,Table 8.
m11,1526,3
m11,2285,Figure 1. a b c
m11,4224,Initial Cracking Strength (MPa) Tensile Strength (MPa) Tensile Strain Capacity (%) Stress Performance Index
m11,4229,Mixture
m11,5110,0 2
m11,5112,d
m11,7554,Author Contributions:
m12,14010,Sensitivity factors of B-level index.
m13,7560,2016
m13,7805,2006
m13,8529,2017
m14,4164,Figure 2.
m14,4665,Table 2.
m14,5542,Table 4.
m14,8529,2012
m15,4665,Table 2.
m15,7804,Figure 5.
m15,9283,2
m15,9562,Figure 8.
m16,4798,Figure 2. a b c
m16,7801,Figure 5. a b c
m17,4227,Figure 5. a b
m17,5492,2009 2010 1993 2005
m17,5699,2005
m17,7560,2008
m18,7805,2013
m19,5703,Acknowledgments:
m2,4665,Table 1.
m2,5491,Table 2.
m20,4805,2003 2007 2013 2009 2013 2017
m20,5763,2012 1994 1993 1983
m21,7553,Figure 5.
m21,13118,2007
m23,8524,2011
m24,4599,Table 2.
m24,13700,2016 2016 2015 2016 2017
m24,13894,34
m24,13932,"35. Biswal, P.; Basak, T. Entropy generation vs energy efﬁciency for natural convection based energy ﬂow inenclosures and various applications: A review. , , 1412–1457. [CrossRef]36. Oztop, H.F.; Kolsi, L.; Alghamdi, A.; Abu-Hamdeh, N.; Borjini, M.; Aissia, H.B. Numerical analysis ofentropy generation due to natural convection in three-dimensional partially open enclosures. , , 131–140. [CrossRef]"
m24,13997,"37. Hussain, S.; Ahmed, S.E.; Akbar, T. Entropy generation analysis in MHD mixed convection of hybridnanoﬂuid in an open cavity with a horizontal channel containing an adiabatic obstacle. , , 1054–1066. [CrossRef]"
m26,7547,2008
m26,7792,2016
m27,2936,Table 1.
m27,4599,Table 2.
m28,4227,Figure 1.
m28,7560,2008
m29,2948,Table 1.
m29,13103,2012 2014
m29,13700,2007
m29,13894,"ﬁbre reinforcement. , , 1–7. [CrossRef]Flax Council of Canada. Chapter 2: Seed and Seeding Practices. In , 5th ed.; Flax Council of Canada: Winnipeg, MB, Canada, 2016; pp. 9–12."
m29,13907,31
m29,13932,"32. Bell, J. The Effect of Maturity on the Tensile Strength of Technical Flax Fibers. Bachelor’s Thesis, University"
m29,13945,"of Manitoba, Winnipeg, MB, Canada, 2015."
m29,13958,"33. Miller, J.H.; Burton, M.G.; Manning, T. A statistical study of the relations between ﬂax ﬁber numbers and"
m29,13971,"diameters and sizes of stems. , , 269–281.SeCan: Canada’s Seed Partner: Flax Varieties. Available online: https://www.secan.com/en/?category=Home&title=SeCan%20West&args[page]=select_cropkind&args[group_code]=oilseeds&args[cropkind]=FLAX&args[block_name]=varietysearch&args[region]=WEST (accessed on 3 November 2017)."
m29,13984,34
m29,14023,"35. Thomason, J.L.; Carruthers, J.; Kelly, J.; Johnson, G. Fiber cross-section determination and variability in sisaland ﬂax and its effects on ﬁber performance characterisation. , , 1008–1015.[CrossRef]"
m30,7552,Figure 3. a b c d
m30,9569,1985
m32,4050,Figure 3. Figure 4. a b
m32,5692,Figure 6.
m32,6500,2014
m33,3938,Figure 2.
m33,4239,Figure 3.
m35,2403,1 2 3 4 5 6 7
m35,4059,Figure 4.
m35,11114,"MARB, NOR, CIP,LOME, DAN, ENR,SAR, DIF, OXO,NAL and FLU"
m35,11954,[42]
m35,11955,HPLC
m35,18083,"CC ( µ g/kg): FFC:0.01, FFC amine: 0.05,THI: 0.07, CAP: 0.01"
m35,18087,"Sample (1 g) placed into a mortar, blended (2 g, C material-dispersion adsorbent, 5 min) with a pestle, homogeneousmixture transferred in glass column (300 ˆ 15 mm i.d.) withdegreased cotton packed at the bottom/top of the sample, columntightly compressed. Extraction solvent mixture ethylacetate-ACN-25% NH OH (10/88/2, / / , 5 mL) used for elution,eluate dried (N2, 50 C), residue reconstituted (1.0 mL 5% MeOH in0.1% formic acid 5 mmol/L CH COONH ).Sample (0.5 g), 500 µ L working standard solution added,homogenized, dehydrated (0.5 g sea sand and 1 g anhydrousNa SO ) in a glass mortar. Dry mixture placed into the SFE chamber,modiﬁer introduced, chamber closed and attached to SFE system.Extracted substances collected (silylation in a glass tube), tubeﬁlled with solvent containing derivatization reagent (20 mL, SylonBFT), placed in a column oven. After extraction, solvent evaporated(dryness, N ), residue resolved (200 µ L ethyl acetate).Sample (10 g) homogenized, extracted ( ˆ 2, ethyl acetate), acetateextracts evaporated, residue dissolved (15 mL salting out solution),fatty components removed ( -hexane), extraction (ethyl acetate), extract evaporated, residue dissolved (5 mL ACN-water, 10:90 / ).Solution pumped through sol-gel ﬁlter column (ﬂow-rate 0.5mL/min) on-line coupled to immunoafﬁnity column (containing0.67 mg anti-CAP antibodies). Flushing (10 mL ACN-water, 10:90 / , 0.5 mL/min), ﬁlter column removed, IAC washed (10 mLACN-water, 10:90 / ), eluting CAP (10 mL ACN-water, 40:60 / ,1.0 mL/min). Eluate extracted (2 ˆ 3 mL ethyl acetate), combinedextracts dried (2 g Na SO ), centrifugation (1580 , 5 min), ethylacetate phase decanted, evaporated (N ), residue dissolved (1 mLACN-water, 10:90 / )."
m35,18098,"CAP, THI,FFC andFFC amine"
m35,18104,[58] shrimp and ﬁsh
m35,18105,LC–MS/MS 84.0–98.8
m35,18124,"CC ( µ g/kg): FFC:0.05, FFC amine: 0.11,THI: 0.13, CAP: 0.04"
m35,22367,2016
m35,29194,"SSZSSZSTZ SulﬁsoxazoleSulﬁsoxazoleSulfathiazole{ , -Bis(Trimethylsily)Triﬂuoroacetamide[BSTFA]-Trimethylchlorosilane [TMCS], 99 + 1}TetracyclineTrichloroacetic AcidTetracyclinesThiamphenicolTilmicocin , , , -Tetramethyl- #NAME?"
m35,29238,Sylon BFT
m35,29257,TCTCATCsTHITIMTMPDTOLSaTPMTRIUPLC-MS/MSUV
m35,29426,"1 Food and Agriculture Organization of the United Nations. Available online: http://www.fao.org/ﬁshery/cwp/handbook/j/en (accessed on 9 December 2015).Cole, D.W.; Cole, R.; Gaydos, S.J.; Gray, J.; Hyland, G.; Jacques, M.L.; Powell-Dunford, N.; Sawhney, C.;Au, W.W. Aquaculture: Environmental, Toxicological, and Health Issues. , , 369–377. [CrossRef] [PubMed]Sapkota, A.; Sapkota, A.R.; Kucharski, M.; Burke, J.; McKenzie, S.; Walker, P.; Lawrence, R. AquaculturePractices and Potential Human Health Risks: Current Knowledge and Future Priorities. , , 1215–1226. [CrossRef] [PubMed]Gillett, R. ; FAO: Rome, Italy, 2008; Volume 475.Rigos, G.; Troisi, G.M. Antibacterial Agents in Mediterranean Finﬁsh Farming: A Synopsis of DrugPharmacokinetics in Important Euryhaline Fish Species and Possible Environmental Implications. , , 53–73. [CrossRef]Defoirdt, T.; Sorgeloos, P.; Bossier, P. Alternatives to Antibiotics for the Control of Bacterial Disease inAquaculture. , , 251–258. [CrossRef] [PubMed]Bermúdez-Almada, M.C.; Espinosa-Plascencia, A. The Use of Antibiotics in Shrimp Farming. In ; Carvalho, E., Ed.; InTech: Rijeka, Croatia, 2010; pp. 199–214."
m35,29451,2
m35,29490,3
m35,29529,4.5.
m35,29580,6
m35,29606,7
m35,29632,"8. Mo, W.Y.; Chen, Z.; Leung, H.M.; Leung, A.O.W. Application of Veterinary Antibiotics in China’s AquacultureIndustry and Their Potential Human Health Risks. . [CrossRef] [PubMed]Samanidou, V.F.; Evaggelopoulou, E.N. Analytical Strategies to Determine Antibiotic Residues in Fish. , , 2549–2569. [CrossRef] [PubMed]Finch, R.G.; Greenwood, D.; Whitley, R.J.; Norrby, S.R. , 9th ed.; Elsevier:Amsterdam, The Netherlands, 2010."
m35,29658,9
m35,29684,10
m35,29709,"11. Wagman, A.S.; Wentland, M.P. Quinolone Antibacterial Agents. In ;"
m35,29722,"Elsevier: Amsterdam, The Netherlands, 2007; pp. 567–596.Sousa, J.; Alves, G.; Abrantes, J.; Fortuna, A.; Falcão, A. Analytical Methods for Determination of NewFluoroquinolones in Biological Matrices and Pharmaceutical Formulations by Liquid Chromatography:A Review. , , 93–129. [CrossRef] [PubMed]"
m35,29735,12
m35,29774,"13. Cheng, G.; Hao, H.; Dai, M.; Liu, Z.; Yuan, Z. Antibacterial Action of Quinolones: From Target to Network."
m35,29787,", , 555–562. [CrossRef] [PubMed]"
m35,29800,"14. EUR-Lex. Available online: http://eur-lex.europa.eu/legal-content/EN (accessed on 9 December 2015). 15. Rang, H.P.; Ritter, J.M.; Flower, R.J.; Henderson, G. , 8th ed.; Elsevier:"
m35,29826,"Amsterdam, The Netherlands, 2016."
m35,29839,"16. Nelson, M.L.; Ismail, M.Y. The Antibiotic and NonantibioticTetracyclines. ; Elsevier: Amsterdam, The Netherlands, 2007; pp. 597–628. In"
m35,30087,"17. Nicolaou, K.C.; Chen, J.S.; Edmonds, D.J.; Estrada, A.A. Recent Advances in the Chemistry and Biology of"
m35,30100,"Naturally Occurring Antibiotics. , , 660–719. [CrossRef] [PubMed]"
m35,30113,18. U.S. Food and Drug Administration. Available online: http://www.fda.gov/AnimalVeterinary/
m35,30126,DevelopmentApprovalProcess/Aquaculture/ucm132954.htm (accessed on 9 December 2015).
m35,30138,"19. Hauser, A.R. , 2nd ed.;"
m35,30151,"Lippincott Williams & Wilkins: Philadelphia, PA, USA, 2007."
m35,30164,"20. Manivasagan, P.; Venkatesan, J.; Sivakumar, K.; Kim, S.K. Marine Actinobacterial Metabolites: Current Status"
m35,30177,"and Future Perspectives. , , 311–332. [CrossRef] [PubMed]"
m35,30190,"21. Kaneko, T.; Dougherty, T.J.; Magee, T.V. Macrolide Antibiotics. In ;"
m35,30203,"Elsevier: Amsterdam, The Netherlands, 2007; pp. 520–539."
m35,30216,"22. Aronson, J.K."
m35,30229,"; Elsevier: Amsterdam, The Netherlands, 2006; pp. 2248–2249."
m35,30242,"23. Dost, K.; Jones, D.C.; Davidson, G. Determination of sulfomamides by packed column supercritical ﬂuidchromatography with atmospheric pressure chemical ionization mass spectrometric detection. , , 1243–1247. [CrossRef] [PubMed]FAO/WHO. ; 40th Report of the Joint FAO/WHO ExpertCommittee on Food; World Health Organization: Geneva, Switzerland, 1993."
m35,30281,24
m35,30306,"25. Garrido-Frenich, A.; Plaza-Bolanos, P.; Aguilera-Luiz, M.M.; Martinez-Vidal, J.L. Recent advances in the analysis of veterinary drugs and growth promoting agents by chromatographic techniques. In ; Quintin, T.J., Ed.; Nova Science Publishers, Inc.: New York,NY, USA, 2009; pp. 1–102."
m35,30358,"26. Delatour, T.; Gremaud, E.; Mottier, P.; Richoz, J.; Vera, F.A.; Stadler, R.H. Preparation of stable isotope-labeled2-nitrobenzaldehyde derivatives of four metabolites of nitrofuran antibiotics and their comprehensivecharacterization by UV, MS, and NMR techniques. , , 6371–6379. [CrossRef][PubMed]"
m35,30410,"27. Tarbin, J.A.; Potter, R.A.; Stolker, A.A.M.; Berendsen, B. Single-residue quantitative and conﬁrmatory"
