filename,top,Text
i10,2445,ATA FLOW RRORS
i12,4055,.
i13,2426,Step 1
i13,2655,Step 2
i13,2708,Step 3 CUR-decomposition Algorithm
i13,3018,C. CONSTRUCTION OF PRECODING MATRIX
i13,3211,B. PERFORMANCE EVALUATION OF CUR-DECOMPOSITION
i13,3444,Algorithm
i13,4053,p K
i13,4057,i K
i13,4058,R K E
i14,4787,Example 1:
i15,5662,d lower bound
i17,6352,User registration on the CCH
i17,8159,q q W kW
i19,3223,C. CLEAR CHANNEL ASSESSMENT (CCA)
i19,5662,a) b)
i19,7340,Step 3: Step 2
i19,8161,B
i2,3014,E. USE OF VIRTUAL IDs
i2,3125,F. TIMESTAMP INSTEAD OF A NONCE
i2,3211,G. PRIVATE KEY OF A USER
i2,3448,H. BENEFITS TO THE BIDaaS PROVIDER
i2,3508,I. BENEFITS TO THE PARTNER
i2,3617,J. BENEFITS TO THE USER
i21,4787,k K
i21,5661,BW i i M
i22,4782,y s C y s stmt in out invoke bra
i22,6339,P M P
i22,8006,M p P M P M p p
i22,8056,2) The Commit-and-Sampling Based Solution: commit-and-sampling protocol
i22,9596,"In the experiment, we used theDragon Stack, a cloud server hosted in Xidian University asthe public cloud. It was responsible for executing the Hadoopapplications (the PWL) and collecting the execution logs. Thecloud server was set up with two Intel Xeon E5 CPU (6 coreson each CPU), 128 GB of memory and 6 TB of hard diskstorage. We chose XenServer 6.2 as the cloud hypervisor.On this server, we deployed a Hadoop cluster consisting ofﬁve Linux virtual machines. Each virtual machine used Ubuntu14.04.1 and was conﬁgured with one core of CPU, 2 GB ofmemory and 128 GB of storage. We also set up a privatecloud to perform the execution audition. The private cloudserver was set up with two Intel Xeon E5 CPU (8 cores oneach CPU), 128 GB of memory and 3 TB of hard disk storage.We chose KVM 2.0.0 as the cloud hypervisor. On the privatecloud, we set up one Linux virtual machine, conﬁgured as8 cores of CPU, 8 GB of memory and 512 GB of storage. In this set of experiments, PPWC processes the same dataas Word Count application. However, data are processedin ciphertexts. Due to the repeated execution of encryptionfunction (such as AH_add in Listing 2), the execution time oforiginal PPWC is 2.54 times of Word Count. When the PWLof PPWC was executed on the public cloud, it incurred 34.34%of performance overhead compared to the original PPWC, andgenerates 46.3 GB of logs, in which 14 GB are the invocationlogs for the encryption functions."
i23,4786,B. Distance Computation Using Finite State Automata
i23,5546,"W D w L W A w k ,"
i23,8003,ShortLex Short-Lex word hyperbolic
i23,8078,"σ B Id, k σ V B Id, k k k δ δ > k D k D B Id, k σ n k k k D k D"
i23,9182,F. Stretch
i24,4055,h t t
i24,4056,D t
i24,4781,t T
i24,4783,h
i24,5665,c t t
i24,5667,t t
i24,7997,u t x t t t t u Theorem 4: n n U P q P P
i24,8053,Corollary 2: V p q D V V t x t t t V s x s qV t x t s t t p D V V t x t t t V s x s qV t x t s t t p t t t V t x t V t x t t t q x
i24,8159,b t
i24,8265,P
i24,9588,Consider Lyapunov functions = = | | .
i25,3117,A. BILINEAR PAIRING
i25,5666,g
i26,2575,"voltage,  the  nominal  120  v  on  the  vt-sensing  circuitis  well  within  the  margins  for  controller  operation.  forthe  vvt  operating  at  0–100%  of  the  nominal  controlpower,  another  solution  was  needed.  in  the  prototypecontroller,  as  shown  in  figure  5,  the  panel  source  (f1)and  motor  source  (f2)  fuse  outputs  were  juxtaposed,enabling  easy  redirection  of  the  cPt  power.  carefulinventory control was needed to clearly identify the cus-tom controllers. though custom units would work on avoltage regulator, a regulator controller would not workon a vvt."
i26,2718,"the first long heater demonstration was in houston,texas. i n a well called Horizontal 4 ( HZ4 ), a 518-m(1,700  ft)-long  pipe-in-pipe  heater  was  installed  hori-zontally  450  m  (1,500  ft)  below  the  surface,  as  shown in figure 6. with a resistance of approxima tely 2 Ω, the device  required  nearly 630 a to achieve 1,100 w/m(350 w/ft) on  the  heater.  including  overburden  loss-es, the 1,100-v power supply total load approached700  kw.  following  the  precedence  of  shorter  heatertests, an scr fed by an isolation transformer was chosenas  the  power  supply.  this  quickly  led  to  a  case  of  Mvsticker shock."
i26,2808,Raise TapR
i26,2815,Raise
i26,2875,"in  addition  to  the  cost  increase  associated  with  Mvcomponents,  the  equipment’s  size  required  an  air-condi-tioned building rather than an enclosure. the addition ofa  custom  isolation  transformer  and  programmable  logiccontroller  (Plc)  increased  costs  to  nearly  us$250,000.while  the  controller  successfully  operated  hZ4  for  90days to prove the viability of a long horizontal heater, testsamplified  concerns  regarding  the  controller  cost  and  theobserved harmonics."
i26,2983,"the  idea  for  a  modified  regulator  as  a  replacementcontroller  for  hZ4  was  revisited  and  given  approval  fortesting.  the  833-kva  unit  shown  in  figure  7  was  pro-duced at a cost of us$35,000. Because of an aggressiveschedule, there was no time to program a supervisoryPlc, and the test was run with a modified regulator con-troller alone."
i26,3078,"once the target set point and heater parameters were setin  the  controller,  the  vvt  automatically  ramped  powerover  a  four-day  period.  even  though  the  unit  remainedenergized for weeks while the heater temperature contin-ued to increase and the test site’s nonoil-bearing shale for-mation slowly heated, the transformer oil temperature was the  voltage,  heater  temperature  in  degrees  fahrenheit,and power in watts per foot as recorded for correspondingtest start-up periods for the two power supplies.  the topcurves display the voltage, the middle ones show the tem-perature, and the bottom lines present the power for bothvvt and scr in the units of the actual tests."
i26,3139,"control or, for long heaters, watt-per-length control. toprovide  a  true-start  and  walkaway  operation  of  long the  previous  heater  process  controller  capabilities  andoperating experience."
i26,3199,a  controller  hardware  issue  was  the  control  powerfor the microprocessor and was supplied by the voltage-sensing  vt  rather  than  from  the  cPt  used  for  themotor  source.  for  regulators  operating  at  ±10%  of  the
i26,3399,"the  difference  at  the  start-up  isthat  the  scr  voltage  is  taken  imme-diately  to  50%  to  limit  the  harmon-ics.  a  further  voltage  step  is  shownin  the  chart  a  few  hours  into  thescr-driven  test.  this  was  done  toaddress  flickering  lights  in  an  officebuilding  served  by  the  same  12.47k-vfeeder  as  the  scr  controller.  havingno  harmonics  issues,  the  vvt  startsat 0 v with the time in step increasingto  give  the  voltage  plot  an  exponen-tial  curve  to  provide  a  straight  lineincrease  of  the  power  steps.  thoughlower power is seen initially from thevvt,  the  higher  initial  temperatureis  shown  because  of  residual  heat ended three months earlier. the vvttest heater temperature remains high-er throughout the test with the curveshowing  slight  waves  with  each  tapchange.  Power  levels  for  both  controldevices  were  slightly  off  the  1,100-w/m  (350  w/ft)  targetwith  the  scr    operating  at  100%  output on a slightly lowisolation transformer tap, while the vvt had tap choicesof 1,033 w/m or 1,246 w/m (315 or 380 w/ft). (1,050  °f)  target.  unfortunately,  whenthe  heater  specialist  saw  the  resultsthe  next  day,  he  explained  that  the518-m  (1,700-ft)  heater  was  expand-ing  or  contracting  approximately  2  ftduring every tap cycle. to avoid heaterdamage,  an  immediate  stop  to  thetap cycling was ordered. considerablysmaller percentage steps were deemednecessary if the cycled taps were to beused for long heater control."
i26,3542,"a  test  facility  located  approximately500  km  (300  mi)  north  of  edmon-ton, alberta, canada, had operated 18heater wells for more than three years with a subsurface conversion of kero- gen,  producing  thousands  of  barrelsof low-viscosity product. while a rela-tively low quantity, the facility productprovided a significant benefit by actingas  a  diluent  for  the  heavier  output  oflarger  nearby  installations.  two  heaters  previously  underscr control were transferred to vvts specifically designedfor  the  180-m  (600-ft)-long  horizontal  heaters  located450 m (1,500 ft) beneath the surface. Given a length nearlyone-third of hZ4, the new design output was 480 v. Basedon discoveries from the first vvt test, the desire for small-er tap steps was addressed in three ways."
i26,3723,"once  at  the  target  temperature,  the  gap  control  wasprogramed  with  a  15-min  tap  change  delay.  the  currentovershot on the high tap and was below the setting on thelower  tap,  resulting  in  tap  cycling  to  provide  an  averagepower  of  1,100  w/m  (350  w/ft)  that  enabled  temperaturecontrol  within  a  narrow  window  centered  on  the  570-°c"
i26,3759,"a  300-v  base  winding  was  added  to  the  secondarywinding  so  the  16  taps  could  now  buck  and  boost  like  astandard regulator to provide 32 taps, as shown in figure 9."
i27,2147,4) ANALYSIS OF THE PAIRHAND PROTOCOL
i27,2284,2) AUTHENTICATION SETS TO ANALYZE SECURITY ISSUES
i27,3010,B. ONE-FACTOR PROTOCOLS 1) MULTI-LEVEL PASSWORD GENERATION
i27,3012,8) ANALYSIS OF A ‘‘MORE EFFICIENT AND SECUREDYNAMIC ID-BASED REMOTE USERAUTHENTICATION SCHEME’’
i28,1858,Controller i
i28,1859,Governor i Turbine i Generator i
i28,1886,∆ P
i28,1889,∆ Freq
i28,2327,"the  block  diagram  of  the  tie-line  interconnection , T which  is  also  included  in  table  1,  represents  the  tie-linesynchronizing torque coefficient between areas i and j ofthe islanded grid.  as indicated in this figure, the tie-linepower  error  is  the  integral  of  the  frequency  differencebetween  the  two  areas  of  the  grid.  therefore, P is calculated by"
i28,2575,"T s turbance r .  for  the  controller  to  be  decentralized,  itsstructure should be diagonal as per the following:"
i28,2580,P ( Freq Freq ).
