filename,top,Text
e1,189,"5th World Conference on Learning, Teaching and Educational Leadership, WCLTA 2014"
e10,97,Analytical Chemistry Research 5 (2015) 9–13
e10,346,Received 25 February 2015Revised 22 May 2015Accepted 29 May 2015Available online 3 June 2015
e11,95,European Research on Management and Business Economics 22 (2016) 162–166
e11,265,"a , ∗ b c"
e11,332,a r t i c l e i n f o a b s t r a c t
e11,354,Received 10 June 2015Accepted 14 November 2015Available online 10 February 2016
e11,518,"suitability of each solution. As a consequence, this methodologyhas been successfully applied to the analysis of different scenarios,with the aim of discovering the most relevant features for the expla-nation of a certain phenomenon (Huang, Cai, & Xu, 2007; Rozsypal& Kubat, 2003; Yang & Honavar, 1998)."
e11,539,"The voting behavior disclosed by shareholders in corporatemeetings is a key concern for researchers into the corporategovernance ﬁeld. Actually, many investigations have been car-ried out regarding the motivations of the vote direction (Choi,Fisch, & Kahan, 2008), as well as its effects (Becker, Bergstresser,& Subramanian, 2013; Fischer, Gramlich, Miller, & White, 2009),including its connection with shareholder wealth (DeAngelo &DeAngelo, 1989; Dodd & Warner, 1983; Mulherin & Poulsen, 1998)and corporate reputation (Bernile & Jarrell, 2009; Ertimur, Ferri, &Maber, 2012; Ferri & Maber, 2013)."
e11,778,"http://dx.doi.org/10.1016/j.iedee.2015.11.0022444-8834/© 2015 AEDEM. Published by Elsevier España, S.L.U. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/ by-nc-nd/4.0/)."
e12,52,"* ** * IFAC ICONS 2013September 2-4, 2013. Chengdu, China 13 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 14 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 15 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 16 a b i IFAC ICONS 2013September 2-4, 2013. Chengdu, China 17 * ** * IFAC ICONS 2013September 2-4, 2013. Chengdu, China 13 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 14 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 15 IFAC ICONS 2013September 2-4, 2013. Chengdu, China 16 a b i IFAC ICONS 2013September 2-4, 2013. Chengdu, China 17"
e12,79,"3rd IFAC International Conference on Intelligent Controland Automation Science.September 2-4, 2013. Chengdu, China"
e13,86,Talanta 97 (2012) 199–203
e13,327,Article history: Received 3 February 2012Received in revised form4 April 2012Accepted 6 April 2012Available online 12 April 2012
e15,87,Talanta 84 (2011) 1174–1179
e15,519,"Stationary phases developed for the analysis of organic and inor-ganic anions usually have an organic polymer as the support for thepositively charged species. However polymeric phases for use inHPLC require signiﬁcant crosslinking for mechanical stability andthis reduces access to the ﬁxed charge by the species being sep-arated. Silica modiﬁed with covalently bonded organofunctionalgroups [15,16] such as aminopropyl [17] or phenylaminopropylgroups [18] present appropriate mechanical stability for use inHPLC."
e15,778,0039-9140 © 2011 Elsevier B.V. doi:10.1016/j.talanta.2011.03.026
e16,95,European Research on Management and Business Economics 22 (2016) 25–30
e16,265,∗
e16,346,Recibido el 26 de febrero de 2015Aceptado el 15 de octubre de 2015 el 30 de noviembre de 2015
e16,475,Antecedents of employee affective commitment in knowledge-intensive SMEs
e16,778,"http://dx.doi.org/10.1016/j.iedee.2015.10.0042444-8834/© 2015 AEDEM. Publicado por Elsevier España, S.L.U. Este es un artículo Open Access bajo la licencia CC BY-NC-ND (http://creativecommons.org/licenses/ by-nc-nd/4.0/)."
e18,344,Received 8 January 2013Received in revised form5 March 2013Accepted 7 March 2013Available online 15 March 2013
e18,955,Table 1
e19,670,"kim1681@purdue.edu, ematson@purdue.edu"
e20,190,"International Conference on Emerging Trends in Engineering, Science and Technology(ICETEST - 2015)"
e21,82,"IIMB Management Review (2016) 28 , 25–30"
e21,106,a v a i l a b l e a t w w w. s c i e n c e d i r e c t . c o m
e21,765,http://dx.doi.org/10.1016/j.iimb.2016.01.0010970-3896 © 2016 Production and hosting by Elsevier Ltd on behalf of Indian Institute of Management Bangalore.
e22,110,HOSTED BY
e22,136,ScienceDirect
e22,518,"subject.  Consequently,  this  paper  represented  an  added  value  to  the  corporate  governance  in  Lebanese"
e22,539,"concentrate on the impact of managerial dominance over the board (board composition, CEO duality and"
e22,550,management ownership) on the independence of audit committee which may have an influence on bank
e23,95,European Research on Management and Business Economics 22 (2016) 124–130
e23,264,"a , ∗ b c"
e23,517,"The economic impact studies determine the proﬁtability of aninvestment for a territory and its inhabitants. In the ﬁeld of sport,such studies are performed for sporting events, facilities (infra-structure) or sports associations."
e23,778,"http://dx.doi.org/10.1016/j.iedee.2015.05.0012444-8834/© 2015 AEDEM. Published by Elsevier España, S.L.U. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/ licenses/by-nc-nd/4.0/)."
e25,88,Journal of Biotechnology 265 (2018) 25–30
e26,353,A R T I C L E I N F O A B S T R A C T
e26,778,2015 The Authors. Published by Elsevier GmbH. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).
e26,948,Table 2
e27,88,Talanta 179 (2018) 57–63
e28,110,Contents lists available at ScienceDirect
e29,95,European Journal of Management and Business Economics 25 (2016) 161–167
e29,778,"http://dx.doi.org/10.1016/j.redeen.2016.07.0012444-8451/© 2016 European Academy of Management and Business Economics (AEDEM). Published by Elsevier Espa ˜na, S.L.U. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)."
e3,149,Procedia CIRP   11  ( 2013 )  187 – 192
e30,95,"Journal of Economics, Finance and Administrative Science 19 -2014 98–103"
e30,778,"http://dx.doi.org/10.1016/j.jefas.2014.10.0022077-1886/© 2013 Universidad ESAN. Published by Elsevier España, S.L.U. All rights reserved."
e32,95,Talanta 85 (2011) 237–244
e32,264,"a a b a a , ∗"
e32,346,Received 5 February 2011Received in revised form 14 March 2011Accepted 23 March 2011 Available online 6 April 2011
e32,517,"The analysis of carbohydrates in foods has extreme nutritionalimportance since they contribute with 40–50% of the caloric intakeof human beings [1]. The constant increase in obesity indices, dia-betes and some CHO intolerances intensify the necessity of theirrigorous control. In the food industry, they are used as technolog-ical coadjuvants in order to obtain physicochemical and sensorialcharacteristics of foods [2,3], but they also serve as quality markersduring processing [4]. Milk, when subjected to excessive heating,suffers a lactose isomerization reaction forming lactulose and epi-lactose. Both have ssmaller biological values than lactose and maycause negative effects like ﬂatulence [4–7]. The presence of anexcessive amount of glucose in ground coffee after hydrolysis indi-cates product adulteration from the addition of other grains [8]. Inrice bran, a food industry by-product, xylose is the predominantcarbohydrate, which has been used as a source for obtaining xyl-itol (a compound with high sweetening power) [9]. In wines, thequantiﬁcation of CHOs is correlated with ﬁnal product conserva-tion. Studies indicate that the majority of microorganisms used forthe fermentation process consume more glucose than fructose. So,high contents of fructose in wine can compromise its preservation The determination of different CHOs is a signiﬁcant challenge,since they are analytes of difﬁcult separation and present similarphysicochemical characteristics [12,13]. Several analytical tech-niques have been studied for this purpose, among them highperformance liquid chromatography (HPLC) and capillary elec-trophoresis (CE). CE is an ascending technique for this type ofanalysis, since the fused-silica capillary withstands highly alkalinepHs, above 11.5, allowing the ionization of CHOs, which facilitatesseparation [14–21]. Besides this, the technique has been largelyemployed owing to its low reagent consumption and waste gen-eration [14,22–26]. Various kinds of separations have already beenstudied with CE, emphasizing capillary zone electrophoresis (CZE),with or without derivatization reactions, and micellar electroki-netic chromatography (MEKC) with cationic surfactant [14–21].Despite several investigations developed to separate CHOs in foodmatrices, one can still verify some separations difﬁculties still exist,mainly between maltose and glucose [14], glucose and galactose[22], galactose, maltose and maltotriose [23], fructose and xylose[24] and fructose and mannose [8], separations that are very impor-tant for the food industry. The MEKC with anionic surfactant is atype of separation employed in several food analyses and is basedon analyte partition into two phases, the micellar phase and the runelectrolyte. The formation of micelles occurs by the addition of sur-factant agents to the electrolyte, in concentrations above the criticalmicellar concentration [27]. Bao et al. [28] observed good results"
e33,110,Contents lists available at ScienceDirect
e33,588,"Climate services have become the focus of major international coordination and development activities over the past fewyears. In 2009 the World Climate Conference-3 brought together heads of states, government ministers, industry represen-tatives, and scientiﬁc and technical experts who laid out the clear need for climate services. In 2012 the Global Frameworkfor Climate Services (GFCS) was approved by governments worldwide at the Extraordinary World Meteorological Congress.In parallel to the GFCS, climate service providers, users and funders are collaborating through an informal Climate ServicesPartnership, to further ensure climate services are effectively developed, delivered and used (see Vaughan and Dessai, 2014for a recent review)."
e34,82,"IIMB Management Review (2017) 29 , 203–209"
e34,106,a v a i l a b l e a t w w w. s c i e n c e d i r e c t . c o m
e34,765,https://doi.org/10.1016/j.iimb.2017.07.0010970-3896 © 2017 Production and hosting by Elsevier Ltd on behalf of Indian Institute of Management Bangalore. This is an open access articleunder the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).
e35,765,Peer review under responsibility of China Agricultural University.http://dx.doi.org/10.1016/j.inpa.2017.03.0042214-3173 (cid:1) 2017 China Agricultural University. Publishing services by Elsevier B.V.This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).
e36,93,Information Processing Letters 132 (2018) 28–32
e37,729,"Copyright © 2017, Tongji University and Tongji University Press. Publishing services by Elsevier B.V. This is an open access article under theCC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).http://www.journals.elsevier.com/she-ji-the-journal-of-design-economics-and-innovationhttps://doi.org/10.1016/j.sheji.2017.10.001"
e37,963,3
