pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,171,24,0,0,0,0,0,0,0,0,0,0,TI,An in silico MS/MS library for automaticannotation of novel FAHFA lipids,s11
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,Analyses of chlorogenic acids and related cinnamicacid derivatives from,s12
1,172,24,0,0,0,0,0,0,0,0,1,0,TI,Nicotiana tabacum,s12
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,tissueswith the aid of UPLC-QTOF-MS/MS based on thein-source collision-induced dissociation method,s12
5,3514,9,0,0,0,0,0,0,0,0,0,1,TI,Table 1 Characterization of chlorogenic acids and related cinnamic acid derivatives detected in tobacco leaves and cells,s12
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,Analysis of alkali ultrasonication pretreatmentin bioethanol production from cotton gintrash using FT-IR spectroscopy and principalcomponent analysis,s13
6,4357,9,0,0,0,0,0,0,0,0,0,1,TI,Table 4 Structural composition of untreated and pretreated cotton gin trash (CGT),s13
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,Anthraquinonyl glycoside facilitates thestandardization of graphene electrodes for theimpedance detection of lectins,s14
5,3514,9,0,0,0,0,0,0,0,0,0,1,TI,ZBW1,s14
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,Anti-leukemia activity of semi-syntheticphenolic derivatives from,s15
1,172,24,0,0,0,0,0,0,0,0,1,0,TI,Polygonumlimbatum,s15
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,Meisn.,s15
5,3512,9,0,0,0,0,0,0,0,0,0,1,TI,Table 2,s15
6,4355,9,0,0,0,0,0,0,0,0,0,1,TI,Table 3,s15
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,Assembly of cellulases with synthetic proteinscaffolds,s16
1,172,24,0,0,0,0,0,0,0,0,1,0,TI,in vitro,s16
1,170,24,0,0,0,0,0,0,0,0,0,0,TI,Assessment and comparisonof phytochemical constituents and biologicalactivities of bitter bean (,s17
1,170,24,0,0,0,0,0,0,0,0,1,0,TI,Parkia speciosa,s17
1,170,24,0,0,0,0,0,0,0,0,0,0,TI,Hassk.)collected from different locations in Malaysia,s17
1,170,24,0,0,0,0,0,0,0,0,0,0,TI,Better agonist for the opioid receptors,s18
1,156,15,0,0,0,0,0,0,0,0,0,1,TI,Biologically synthesized silver nanoparticles by aqueous extractof,s19
1,156,15,0,0,0,0,0,0,0,0,0,1,TI,Satureja intermedia,s19
1,156,15,0,0,0,0,0,0,0,0,0,1,TI,C.A. Mey and the evaluation of totalphenolic and ﬂavonoid contents and antioxidant activity,s19
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,"Biosurfactant, polythene, plastic, and dieselbiodegradation activity of endophytic",s20
1,172,24,0,0,0,0,0,0,0,0,1,0,TI,Nocardiopsis,s20
1,172,24,0,0,0,0,0,0,0,0,0,0,TI,sp. mrinalini9 isolated from,s20
1,172,24,0,0,0,0,0,0,0,0,1,0,TI,Hibiscus rosasinensis,s20
