filename,top,Text
a1,2693,Table I. RUCM Use Case Template
a1,4377,Table III. Restriction Rules (R8-R16)
a1,4619,Table IV. Restriction Rules (R17–R26)
a1,6989,Table VI. Participant Groups and Tasks – Experiment 1
a1,7745,Table VII. Participant Groups and Tasks – Experiment 2
a1,9429,Table VIII. Comprehension Questionnaire of Task 1
a1,11112,Table IX. Measures Used to Derive Error Rate
a1,11955,Table X. Error Rate Measurements (R1–R16)
a1,12041,Table XI. Error Rate Measurements (R17–R26)
a1,12797,Table XII. Measures Used to Derive CD
a1,13639,Table XIII. Quality Measures for a Class Diagram
a1,14481,Table XIV. Quality Measures for a Class
a1,14679,Table XV. Measures Used to Derive SD
a1,15323,Table XVI. Quality Measures for a Sequence Diagram
a1,16164,Table XVII. Mapping between Measurement and Analysis
a1,16285,Table XVIII. Collected and Analyzed Data Points – Experiment 2
a1,22454,Table XXII. Summary of ANOVA Tests – SD
a1,22544,"Table XXIII. Descriptive Statistics of QC – Experiment 1, Experiment 2: lab 2.2, andlab 2.3"
a1,25427,Table XXV. Summary of Use Case Templates
a11,7831,Table 3. Initialization of Constraint Annotations
a11,9793,Fig. 3. The basic residuation algorithm.
a11,12219,Fig. 5. Basic residuation algorithm with stability.
a11,28750,"Fig. 16. Negative experiments for cf-RE( # , & ): random words."
a11,28905,"Fig. 17. Negative experiments for cf-RE( # , & , % ) : random words."
a11,29527,Fig. 18. Schema experiments: no caching.
a11,29685,Fig. 19. Schema experiments: caching.
a12,15323,"B , T. 2009. Tangible auditory interfaces: Combining auditory displays and tangible interfaces. Ph.D."
a12,16165,"G , W. W. 1986. Auditory icons: Using sound in computer interfaces. , 2, 167–177.G , W. W. 1988. Everyday listening and auditory icons. Ph.D. thesis. University of California.G , W. W. 1989. The SonicFinder, a prototype interface that uses auditory icons."
a12,16278,"G , A. B , J. E. 2010. Corrective sonic feedback for speed skating: A case study. In"
a12,16287,. 23–30.
a13,2647,2. RELATED WORK
a13,2691,2.1. GPS-based Recommendation
a13,7811,Augmented CF for Sparseness Reduction in Personalized POI Recommendation 71:11:00
a13,9351,Augmented CF for Sparseness Reduction in Personalized POI Recommendation 71:13:00
a13,10891,Augmented CF for Sparseness Reduction in Personalized POI Recommendation 71:15:00
a13,11661,71:16:00 C. Cui et al.
a13,12431,Augmented CF for Sparseness Reduction in Personalized POI Recommendation 71:17:00
a13,13971,Augmented CF for Sparseness Reduction in Personalized POI Recommendation 71:19:00
a13,16281,71:22:00 C. Cui et al.
a13,17051,Augmented CF for Sparseness Reduction in Personalized POI Recommendation 71:23:00
a14,4090,∈
a14,4376,(cid:3)
a14,13905,HEOREM
a15,4377,Table I. The Greedy Algorithm
a15,15323,"Table VII. Results for the Analyzed Systems (Weak Equivalence), ComparingThree Greedy Strategies"
a15,16164,Table VIII. Time Results
a16,6497,4. SLA RENEGOTIATION
a16,7745,Table III. Related Works on Proactive and Reactive Renegotiation
