pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,180,8,0,0,0,0,0,0,0,0,0,0,AFF,Université Paris-Dauphine - PSL Research University - CNRS,a11
1,180,8,0,0,0,0,0,0,0,0,0,0,AFF,Università di Pisa,a11
1,180,8,0,0,0,0,0,0,0,0,0,0,AFF,Università della Basilicata,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,Regular Expressions (REs) are ubiquitous in database and programming languages. While many applicationsmake use of REs extended with,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,interleaving,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,(,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,shuffle,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,) and,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,unordered concatenation,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,"operators, this extensionbadly affects the complexity of basic operations, and, especially, makes",a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,membership,a11
1,236,8,0,0,0,0,0,0,0,0,0,0,AFF,"NP-hard, which is unac-ceptable in most practical scenarios.",a11
1,280,8,0,0,0,0,0,0,0,0,0,0,AFF,"In this article, we study the problem of membership checking for a restricted class of these extended REs,called",a11
1,280,8,0,0,0,0,0,0,0,0,0,0,AFF,conflict-free REs,a11
1,280,8,0,0,0,0,0,0,0,0,0,0,AFF,", which are expressive enough to cover the vast majority of real-world applications. Wepresent several polynomial algorithms for membership checking over conflict-free REs. The algorithms areall polynomial and differ in terms of adopted optimization techniques and in the kind of supported operators.As a particular application, we generalize the approach to check membership of Extensible Markup Languagetrees into a class of EDTDs (Extended Document Type Definitions) that models the crucial aspects of DTDs(Document Type Definitions) and XSD (XML Schema Definitions) schemas.",a11
