pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Composite Properties and Micromechanical Analysisof Highly Ductile Cement Composite IncorporatingLimestone Powder,m11
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Comprehensive Evaluation of Coal-Fired Power UnitsUsing Grey Relational Analysis and a HybridEntropy-Based Weighting Method,m12
5,4009,9,0,0,0,0,0,0,0,0,0,0,TI,3.1.1. Normalizing the Evaluation Indices,m12
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Correlated Disorder in Myelinated AxonsOrientational Geometry and Structure,m13
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Determination of Posaconazole in Plasma/Serum byHigh-Performance Liquid Chromatography withFluorescence Detection,m14
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Determination of Selected Aromas in Marquette andFrontenac Wine Using Headspace-SPME Coupledwith GC-MS and Simultaneous Olfactometry,m15
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Development of a Combined Heart-Cut andComprehensive Two-Dimensional GasChromatography System to Extend theCarbon Range of Volatile Organic CompoundsAnalysis in a Single Instrument,m16
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Development of Nano-Carbon Biosensors UsingGlycan for Host Range Detection of Inﬂuenza Virus,m17
1,151,13,0,0,0,0,0,0,0,0,0,1,TI,†,m17
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Discovery of BiS,m18
1,151,13,0,0,0,0,0,0,0,0,0,1,TI,2,m18
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,#NAME?,m18
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Dispersed Mobile-Phase Countercurrent Chromatography,m19
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Enhancement of Thermal Stability and Selectivity byIntroducing Aminotriazine Comonomer toPoly(Octadecyl Acrylate)-Grafted Silica asChromatography Matrix,m20
1,151,17,0,0,0,0,0,0,0,0,0,1,TI,Entropy Generation Analysis of Wildﬁre Propagation,m21
1,133,36,0,0,0,0,0,0,0,0,0,0,TI,entropy,m22
