pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎧⎪⎪⎨,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎪⎪,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎩,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎧⎪⎪⎨,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎪⎪,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎩,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎧⎪⎪⎨,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎪⎪,a11
31,23416,9,0,0,0,0,0,0,0,0,0,1,RE,⎩,a11
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,Notation,a13
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,U,a13
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,Vu,a13
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,v,a13
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,Z,a13
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,F,a13
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,W,a13
7,4769,7,0,0,0,0,0,0,0,0,0,1,RE,Deﬁnition,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,Z,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,F,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,W,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,H,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,D,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,D,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,L,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,W,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,H,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,D,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,D,a13
7,4779,7,0,0,0,0,0,0,0,0,0,1,RE,L,a13
15,11348,9,0,0,0,0,0,0,0,0,0,1,RE,BPR,a13
15,11381,9,0,0,0,0,0,0,0,0,0,1,RE,RMF-HG,a13
16,12121,8,0,0,0,0,0,0,0,0,0,1,RE,6.1. Overall Performance,a13
8,6538,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
8,6538,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
8,6583,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
8,6583,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11364,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11364,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11364,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11364,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11442,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11442,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11442,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11442,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11475,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
14,11597,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,11968,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12049,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12049,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12049,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12049,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12079,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12079,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12079,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12100,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12100,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12128,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12128,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12128,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12172,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
15,12488,10,0,0,0,0,0,0,0,0,1,1,RE,p,a14
6,4413,9,0,0,0,0,0,0,0,0,0,1,RE,E,a17
15,12161,8,0,0,0,0,0,0,0,0,0,1,RE,6. EVALUATION,a17
8,6216,7,0,0,0,0,0,0,0,0,0,1,RE,Total,a18
19,15414,9,0,0,0,0,0,0,0,0,0,1,RE,Covert channels.,a18
19,15703,9,0,0,0,0,0,0,0,0,0,1,RE,Image sharing leakage.,a18
24,19882,8,0,0,0,0,0,0,0,0,0,1,RE,4.4. Discussion,a18
6,4748,7,0,0,0,0,0,0,0,0,0,1,RE,+,a19
6,4748,7,0,0,0,0,0,0,0,0,0,1,RE,-,a19
14,11440,9,0,0,0,0,0,0,0,0,0,1,RE,+,a19
14,11440,9,0,0,0,0,0,0,0,0,0,1,RE,+,a19
15,12115,8,0,0,0,0,0,0,0,0,0,1,RE,7. TOOL SUPPORT,a19
24,19941,8,0,0,0,0,0,0,0,0,0,1,RE,5.1. Higher Coverage than Basic Dynamic Symbolic Execution (RQ5),a20
33,27242,9,0,0,0,0,0,0,0,0,0,1,RE,instanceof,a20
4,2948,6,0,0,0,0,0,0,0,0,0,0,RE,AMPI,a21
11,9047,9,0,0,0,0,0,0,0,0,0,0,RE,— Since this regular expression,a21
11,9047,9,0,0,0,0,0,0,0,0,0,0,RE,"has only two symbols ( and ), it encodes constantcharacters using a single bit bit-vector constant where 0 represents ""("", and 1 represents"")"".",a21
14,11400,9,0,0,0,0,0,0,0,0,0,1,RE,c1,a21
14,11608,9,0,0,0,0,0,0,0,0,0,1,RE,c1,a21
14,11608,9,0,0,0,0,0,0,0,0,0,1,RE,c1,a21
24,19958,8,0,0,0,0,0,0,0,0,0,1,RE,6.2. String Solvers Built as Part of Program Analysis Applications,a21
15,11355,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
15,11355,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
15,11355,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
15,11412,9,0,0,0,0,0,0,0,0,0,1,RE,FO,a22
15,11439,9,0,0,0,0,0,0,0,0,0,1,RE,FO,a22
15,11452,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
16,12165,8,0,0,0,0,0,0,0,0,0,1,RE,5.2. Consistent First-Order Rewriting: Construction,a22
31,23233,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
31,23233,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
31,23233,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
31,23233,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
31,23233,9,0,0,0,0,0,0,0,0,0,1,RE,s,a22
31,23233,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
31,23233,9,0,0,0,0,0,0,0,0,0,1,RE,s,a22
31,23310,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
31,23374,9,0,0,0,0,0,0,0,0,0,1,RE,db,a22
