pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,a,e15
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,b,e15
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,b,e15
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,b,e15
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,",",e15
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,∗,e15
1,307,8,0,0,0,0,0,0,0,0,0,0,EM,Abstract,e20
1,325,7,0,0,0,0,0,0,0,0,0,0,EM,Augmented reality;,e20
1,620,8,0,0,0,0,0,0,0,0,0,0,EM,"Recommender systems or recommendation systems (RS)collect information based on the preferences of users (forexample—songs, movies, jokes, books, travel destination ande-learning material). Recommender systems work based onusers’ information from different sources and provide rec-ommendation of items. This information can be explicit (userrating) and implicit (monitoring user’s behaviour), with mil-",e21
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,a,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,b,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,a,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,c,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,c,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,d,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,d,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,e,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,f,e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,"a,",e27
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,⁎,e27
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,"Metaldehyde is a solid, synthetic, neutral, non-chiral tetramer ofacetaldehyde (C",e27
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,H,e27
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,O,e27
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,") and is used as a potent molluscicide. It is theactive ingredient in most formulated slug pellets used commonly toeliminate infestations of slugs and snails on crops such as barley, oilseedrape and wheat [1]. It has been used for this purpose since the early1940s. The amount of metaldehyde used in pellets varies between 1.5,3.0 or 4.0% by weight. In the United Kingdom, it is estimated that 80%of arable farmers use metaldehyde, with ~ 460 t applied to",e27
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,ﬁ,e27
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,elds be-tween 2012 and 2015 [2]. Metaldehyde is predominantly used in the,e27
1,325,7,0,0,0,0,0,0,0,0,0,0,EM,"Starting from MM’s theories, we discuss some important topics in capital market researchin taxation. We use this article to introduce intuitions and techniques of capital marketresearch in taxation to Chinese researchers. While it is apparent that many Chineseresearchers have already mastered these techniques, we hope that more researchers willbe interested in this line of research. We believe that China provides fertile ground for cap-ital market research in taxation.",e28
1,325,7,0,0,0,0,0,0,0,0,0,0,EM,(cid:2),e28
1,325,7,0,0,0,0,0,0,0,0,0,0,EM,2011 China Journal of Accounting Research. Founded by Sun Yat-sen University and CityUniversity of Hong Kong. Production and hosting by Elsevier B.V. All rights reserved.,e28
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,a,e33
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,"b,c",e33
1,255,7,0,0,0,0,0,0,0,0,0,0,EM,"d,e",e33
1,377,8,0,0,0,0,0,0,0,0,0,0,EM,Received 12 May 2016; revised 15 February 2017; accepted 13 July 2017; available online 26 July 2017,e34
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,1,e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,A,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,=,e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,a,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,2,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,(a),e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,a,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,(b),e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,a,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,>,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,"1,",e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,a,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,≥,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,"1,",e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,a,e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,is,e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,transitive;,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,>,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,1,e39
1,619,7,0,0,0,0,0,0,0,0,0,0,EM,⇒,e39
1,619,7,0,0,0,0,0,0,0,0,1,0,EM,a,e39
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,a,e45
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,a,e45
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,a,e45
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,b,e45
1,254,7,0,0,0,0,0,0,0,0,0,0,EM,"a,",e45
