filename,top,Text
m1,3008,Figure 1.
m1,4081,Figure 2.
m1,5205,Figure 3.
m1,8613,Figure 6.
m10,4952,Figure 1.
m10,5203,Figure 2.
m10,6096,Figure 3.
m10,7475,Figure 4.
m11,1578,Table 2.
m11,1616,Admixtures
m11,1619,LimestonePowder PVA Fiber(by vol.)
m11,1624,Mix Water Cement Sand
m11,1631,SP VMA Deformer
m11,2563,Figure 2. a b c
m11,3364,Figure 3.
m11,4199,Table 3.
m11,5086,Table 4.
m11,5110,τ (J/m )
m11,5112,Mixture G (MPa)
m11,5653,K (MPa m ) J (J/m )
m11,5655,Mixture
m11,6102,Figure 5.
m11,6470,E
m11,6471,b 2
m11,6472,b tip
m11,6930,Figure 6.
m11,7528,Acknowledgments:
m11,7894,2008
m12,2457,Figure 1.
m12,11758,C-Level w
m12,11759,B-LevelIndex C-LevelIndex IndexUnit IndexAttribute *
m12,11763,Unit 1 Unit 2 Unit 3 Unit 4 Unit 5 Unit 6 Unit 7
m12,14051,j j
m13,6595,Acknowledgments:
m13,6897,2016 2014
m13,7026,2015
m13,8349,2009
m14,3473,"Figure 1. Blank chromatogram after extraction of analyte-free pooled human serum (blank sample). Figure 2. Representative chromatogram (ketoconazole at ~5.6 min, posaconazole at ~6.4 min) after extraction of a patient’s serum. The posaconazole concentration was 0.98 µg/mL."
m14,4950,Run Recovery (%) CV (%)
m14,7028,Figure 4.
m14,7872,2010 2014
m14,8349,2009
m14,8439,2010
m14,8620,2015
m14,8736,2009
m14,9228,2011
m14,9382,2001
m15,4702,Relative Retention
m15,4703,No. Compound
m15,4716,1.23E+84 4.85E+21
m15,7469,Figure 4.
m16,4195,a Figure 1. b
m16,5742,Figure 3.
m16,5963,Table 1.
m16,6932,Figure 4.
m17,2235,Figure 1. a b
m17,3436,Figure 3. a b a c
m17,5070,Acknowledgments:
m17,5147,Author Contributions:
m17,5204,Conﬂicts of Interest:
m17,5260,2012
m17,5738,2007
m17,5918,2013
m17,6086,2012
m17,6099,2011
m17,6151,2013
m17,6449,7951–7952. [CrossRef] [PubMed]
m17,6539,2010
m17,6591,2012
m17,6836,2008
m17,6849,2014
m17,6888,2015 2015
m17,6952,2016
m17,7004,2016
m17,7017,2006
m18,2482,2
m18,4187,"Figure 3. a b c,d"
m18,5055,"Figure 4. a b c,d e f"
m18,6124,Figure 5.
m18,6732,Acknowledgments:
m18,6932,2008 2010 2010
m18,7022,2012
m18,7048,1995
m18,7534,2014
m18,7663,2013
m18,8620,2014
m18,8723,2014
m18,8762,2016
m19,1924,Table 1.
m19,1949,Solvent System Sample K D
m19,1970,"n-butanol–1% NaOH (1:1, )"
m19,3002,Figure 2. a b
m19,3900,Figure 3. a b
m19,4356,Figure 4.
m19,5750,Author Contributions:
m19,5979,1944 1982 2005 1962
m19,6108,1965 1970
m19,6449,"helical tube for industrial separation. , , 3363–3365. [CrossRef] [PubMed]Ito, Y.; Conway, W.D. ; Wiley-Interscience: New York, NY,USA, 1996.Ito, Y.; Sandlin, J.; Bowers, W.G. High-speed preparative counter-current chromatography with a coil planetcentrifuge. , , 247–258. [CrossRef]Sutherland, , , 6–13. [CrossRef] [PubMed]"
m19,6539,2005
m2,4210,Figure 1.
m2,5079,Figure 2.
m2,8830,Figure 6.
m2,10262,Figure 7.
m20,2231,Table 1.
m20,2256,Molar Ratio EAN (%) TGA
m20,2262,Silica Composites
m20,2267,x y C (%) C/N Loss (%) Polymer (%)
m20,2577,Figure 2. a b c d e f
m20,2705,"Separations 2018 , 5 , 15  4 of 7"
m20,3745,5 5 10 1 10
m20,4260,Figure 4.
m20,5102,2016
m20,5141,2017 1996
m20,5218,1992
m20,5231,2004
m20,5673,2009
m20,5686,2011
m20,5725,2007
m20,5931,1982
m21,1643,Figure 1.
m21,2414,Figure 2.
m22,1134,"G ,"
m22,1135,lost o
m22,2824,"sh ,"
m22,6976,3
m23,2577,Figure 1.
m23,2857,. 2
m23,4254,a b c Figure 2. d
m23,5082,Figure 3. a b c
m23,5875,Figure 4. a b c d
m23,6590,Figure 5. a b
m23,7298,1 2 x
m23,7299,1 2
m23,7301,x f x
m23,7672,Conﬂicts of Interest:
m23,8614,2010
m23,8756,2016
m23,9382,2013
m24,4267,Table 1.
m24,4292,Nu
m24,4300,Ra
m24,4307,Dixit and Babu [32] de Vahl Davis [33] Current Study
m24,5733,Figure 3.
m24,5929,Figure 4.
m24,6966,Figure 6.
m24,9394,Figure 9.
m25,1665,Figure 1. a b
m25,2375,"Figure 3. Molecular structures of Azobenzene, 5CB and MBBA. 3. Results 3.1. Observation of Photo-Response After taking the double emulsions, they were observed by the microscope. Their defect patterns were randomly oriented. For observation of the photo-response of the LC double emulsions, we selected the ones which showed their defect pattern facing the top side, because the defect pattern change by a UV irradiation was easy to observe. Before studying the photo-response, the LC alignment in the double emulsion was considered. The defect pattern of the LC emulsion made of 5CB is shown in Figure 4a. Since our experimental condition was similar as the one in a previous study [11], the alignment of LC molecules is considered based on it as well as the basics described in a review [20], and the schematic drawing of the LC alignment is given in Figure 4a. Due to the planer boundary condition, the LC molecules align parallel to the sphere interface except the defect position. At the defect position, the molecules are aligned vertically to the center of the defect. In general, a crossed pattern is observed at a defect position. In Figure 4a, two crossed patters were overlapped because two defects on the outer and inner surfaces were observed at the same time due to the thin shell. This can be confirmed by the fact that one of the crossed pattern reached the outer interface, while the other crossed pattern reached the boundary of the inner shell. We frequently observed this type of double emulsions, and it indicates that the two defects preferred to stay close, probably due to the minimization of the elastic potential."
m25,3433,Figure 4. a b c a
m25,5113,Acknowledgments:
m25,5149,Author Contributions:
m25,5186,Conﬂicts of Interest:
m25,5834,2016
m25,5847,2017
m25,5937,2015
m25,5963,1998 1990
m25,6105,2006
m25,6157,2004
m26,2489,left Figure 1. right
m26,6729,Acknowledgments:
m26,6890,2009
m26,6904,2015 2015 2011
m26,7007,2013 2012
m26,7534,2016
m26,7728,2014
m27,408,0.8 0.15 0.05 2 2 3 3 2 ◦ 3 3 2 2
m27,2968,"Appl. Sci. 2018 , 8 , x 4 of 10 3 104 2+ + 2+ + 3 104 3 104 3 3 2 3 104 2 3 3 3 3 2 2 3 3 3 2 2 3 3 3 2 2 3"
m27,3398,Figure 2. a b c d
m27,3903,Figure 3. a b a
m27,4363,Figure 4.
m27,5120,Figure 5. a b c d
m27,5747,Figure 6. a b c d
m27,6869,Table 3.
m27,6907,Original After 25 Cycles
m27,6913,Sample
m27,6923,Rs Rf Wo Rs Rct Rf Ws Wo
m27,7488,Conﬂicts of Interest:
m27,7533,2016 2015 2016 2015
m27,8346,2011
m28,5131,Figure 3. a b c
m28,5638,Table 1.
m28,6145,Figure 4.
m28,7728,2012
m28,7883,2004
m29,3322,Figure 1. Clamped fiber in North Dakota State University (NDSU)’s Deben micro-tensile tester.
m29,3916,Figure 1.
m29,4326,Figure 2. a b
m29,5042,Table 2.
m29,5080,NDSU CIC
m29,5085,Sample
m29,5096,Numberof Records Mean and StandardDeviation (MPa) Numberof Records Mean and StandardDeviation (MPa)
m29,5740,Figure 3.
m29,5976,Figure 4.
m29,7305,a
m29,7722,Number ofRecords Mean and StandardDeviation (GPa) Number ofRecords Mean and StandardDeviation (GPa)
m29,8715,SamplesCompared p #NAME? p #NAME? HypothesisResults
m29,8720,Comparison Alternate Hypothesis (H a )
m29,9089,a
m29,9394,NDSU CIC
m29,9653,a
m29,9981,a
m29,10926,a
m3,5865,Figure 2.
m3,7531,Figure 3.
m3,8337,Figure 4.
m3,8770,Figure 5.
m3,9239,Figure 6.
m30,2442,Figure 1.
m30,4353,Figure 2.
m30,5194,Figure 2. a b c d
m30,7010,Figure 3.
m30,7666,Samples/Parameters S S S
m30,10223,2017
m31,4332,Figure 3.
m31,5246,Figure 4. a b
m31,5677,Figure 5. a b
m31,7725,Conﬂicts of Interest:
m32,2579,Figure 1.
m32,2968,", , 15  4 of 9 3 −5"
m32,3311,"2017 The normalized excitation spectrum of Ox170 perchlorate doped PMMA. The normalized fluorescence spectra of Ox170 doped fiber: ( ) 0.02–0.10 m, ( ) 0.10–0.85 m."
m32,3383,Figure 2.
m32,4376,Figure 4. a b
m32,5946,Conﬂicts of Interest:
m32,6449,"macro-bend. , , 13076–13089. [CrossRef] [PubMed]"
m32,6578,2014
m32,6591,2003 2005
m32,6733,2006
m32,6875,2015
m32,6888,2010
m32,6939,2003
m32,7030,2001
m32,7470,2010
m32,7534,2008
m33,2429,2016
m33,3130,Figure 1.
m33,7052,Conﬂicts of Interest:
m33,7669,2007
m33,7721,2000
m34,1440,"Consider a steady-state two-dimensional laminar ﬂow in a lid-driven saturated porous cavityﬁlled with a Newtonian, incompressible and electrically conducting ﬂuid. The square cavity withporosity ( ε ) has a height (H) as shown in Figure 1. The top wall is moving from left to right at a constantspeed U and is maintained at a constant temperature θ , whereas the bottom wall is maintainedat a constant temperature θ ( θ < θ ). All other remaining walls are adiabatic and insulated.A uniform magnetic ﬁeld of strength (B ) is applied in the direction normal to the cavity cross section. The physical properties of the ﬂuid are considered to be constant, except the density variation which is applied in the Boussinesq approximation for the buoyancy term ρ ρ 1 β θ θ . ρ is theﬂuid density at temperature θ and β is the thermal expansion coefﬁcient."
m34,1700,Figure 1.
m34,3295,Table 1.
m34,3319,10 3 10 4 10 5
m34,3321,Ra
m34,3386,Table 2.
m34,3411,Ra Present Results Muthtamilselvan et al. (2009) June (2001)
m34,4320,Figure 2.
m34,5055,Figure 3.
m34,5250,Figure 4.
m34,5654,Figure 5.
m34,5831,Figure 6.
m34,6723,Figure 8.
m34,7019,Author Contributions:
m34,7056,Conﬂicts of Interest:
m34,7897,2016
m35,1683,Figure 1.
m35,2403,2016
m35,2445,Figure 1.
m35,3339,1 2 3 4 5 6 7
m35,3356,2016
m35,3406,Figure 3.
m35,5046,Figure 5.
m35,5159,Figure 6.
m35,20583,2016
