filename,top,Text
m11,2285,Specimen for ( ) uniaxial tension test; ( ) single ﬁber pullout test; and ( ) matrix fracture test.
m11,7945,1827–1834. [CrossRef]
m12,5517,θ θ
m12,5547,B b B F θ θ θ
m12,5803,p x x i n j m
m12,14050,"| 201.0095|0.005(2,5) | 176.7093|0.0057(3,4)"
m12,14051,"Pairs 55.21680.0181(5,6) 59.0520.0169(3,4)"
m12,15567,5.3. Details of the Resampled Distribution of BECC Process
m12,19762,"31. Liang, J.; Shi, Z.D.; Wierman, M.J. Information entropy, rough entropy and knowledge granulation in"
m12,19775,"incomplete information systems. , , 641–654."
m12,19788,"32. Kao, C. Weight determination for consistently ranking alternatives in multiple criteria decision analysis."
m12,19801,", , 1779–1787."
m12,19814,"33. Diakoulaki, D.; Mavrotas, G.; Papayannakis, L. Determining objective weights in multiple criteria problems:"
m12,19827,"The critic method. , , 763–770."
m12,19840,"34. Wang, Y.M.; Luo, Y. Integration of correlations with standard deviations for determining attribute weights in"
m12,19853,"multiple attribute decision making. , , 1–12."
m12,19866,"35. Lo, T.P.; Guo, S.J. Effective weighting model based on the maximum deviation with uncertain information."
m12,19879,", , 8445–8449."
m12,19892,"36. Gan, Y.; Duan, Q.; Gong, W.; Tong, C.; Sun, Y.; Chu, W.; Ye, A.; Miao, C.; Di, Z. A comprehensive evaluationof various sensitivity analysis methods: A case study with a hydrological model. , , 269–285."
m12,19930,"37. Efron, B. ; Springer: Heidelberg/Berlin, Germany, 1979.38. Babamoradi, H.; Berg, F.V.D.; Rinnan, Å. Bootstrap based conﬁdence limits in principal component"
m12,19956,"analysis—A case study. , , 97–105."
m12,19969,"39. Datta, J.; Ghosh, J.K. Bootstrap—An exploration. , , 63–72."
m12,19991,"© 2018 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open accessarticle distributed under the terms and conditions of the Creative Commons Attribution(CC BY) license (http://creativecommons.org/licenses/by/4.0/)."
m13,7947,", , 242–251. [CrossRef]"
m14,4689,µ µ
m14,5806,3.7. Method Comparison
m18,4381,"Figure 4. ( a ) Superconductivity phase diagram of REO F BiS plotted as a function of mean RE ionic radius. ( b ) Superconductivity phase diagram of LaO F BiS Se plotted as a function of Se concentration ( x ). ( c,d ) Schematic images of the evolutions of lattice constant and in-plane chemical pressure. ( e ) Evolutions of lattice constant of a and in-plane chemical pressure by the Nd  or Se substitutions. ( f ) Relationship between T and in-plane chemical pressure in the REO F BiS #NAME?"
m20,2283,Sil-MPSSil-ODA #NAME? Sil-ODA #NAME? Sil-AT -1050 -1510 03.8121.7519.5520.68 000.6404.0923.11 -33.9804.7800.89 11.332.734.728.4 -21.423.417.1
m21,5667,t t
m22,9597,1
m24,14036,"38. Hinojosa, J.F.; David, B.; Xam á n, J.; P é rez-Tello, M. The effect of surface thermal radiation on entropygeneration in an open cavity with natural convection. , , 164–174.[CrossRef]"
m24,14083,"© 2017 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open accessarticle distributed under the terms and conditions of the Creative Commons Attribution(CC BY) license (http://creativecommons.org/licenses/by/4.0/)."
m26,2080,(cid:90) (cid:90)
m26,5517,N g > B ϕ x φ x φ x B φ x φ x B B
m26,7947,"Condensate. , , 130401."
m28,2446,◦ ◦
m29,14061,36. ASTM International. ;
m29,14074,"ASTM International: West Conshohocken, PA, USA, 2014.Flax Council of Canada. Chapter 12: Flax Straw and Fibre Past and Present Uses. In , 5th ed.; Flax Council of Canada: Winnipeg, MB, Canada, 2016; pp. 54–61."
m29,14087,37
m29,14122,"© 2018 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/)."
m35,3040,General chemical structure of quinolones.
m35,11640,Overview of extraction methodologies for the determination of tetracyclines in shrimps.
m35,17439,"Freeze-dried samples (2 g), reconstituted (water, original sample10 g, IS ( -CAP) added, extraction (ACN/4% NaCl, 1:1 / , 20 mL),homogenized, centrifuged (4000 rpm, 15 min). Supernatantseparated, de-fatted (2 ˆ 10 mL -hexane), ethyl acetate (7 mL)added, vortexed, supernatant transferred, extraction repeated.Combined supernatants evaporated (dryness), re-dissolved (3 mL ofwater/ACN, 95:5 / ). Re-dissolved sample applied to C cartridge (500 mg, Separtis). Cartridge preconditioned (10 mLMeOH and 10 mL water/ ACN, 95:5 / ), sample eluted (3 mLwater/ACN, 45:55 / ), ethyl acetate (4 mL) added to eluted sample,vortexed, extraction repeated. Combined extracts evaporated(dryness, N ), residue re-dissolved (1 mL of acetone/toluene, 20:80 / ), applied onto a Silica cartridge (1 g). Cartridge preconditioned(6 mL of acetone/ toluene, 20:80 / ), washed (2 ˆ 3 mLacetone/toluene 20:80 / ), eluted (6 mL acetone/ toluene, 70:30 / ), extract evaporated (dryness), derivatization mixture (50 µ L,BSA/n-heptane, 1:1 / ) added, react (45 min, 60 C)."
m35,17513,"shrimp, crayﬁshand prawns CC (mg/kg): 0.074,CC (mg/kg): 0.087"
m35,17518,[55] CAP GC/NCI/MS 95.0 (all)
m35,17611,"Biosensor: CC ( µ g/kg): 0.04, CC ( µ g/kg): 0.17"
