filename,top,Text
s11,488,Conclusions:
s11,1002,a
s11,1193,c
s11,1295,Fig. 1 a b c b
s11,2138,Conclusions
s11,2671,Table 1  Information about FAHFAs found in egg yolk Methods Experimental measurements of standards
s11,3942,Additional files
s13,598,Background
s13,2856,PRETREATMENT COMBINATION
s14,500,Background
s14,1271,ZBW1
s14,3788,nG ZBW1
s14,3933,Conclusion
s14,4788,4.
s15,542,A B D E A B A B 1 2 3 4 C
s15,544,Background C
s15,1004,A B A 1
s15,1030,Results A B C D E
s15,1280,C C
s15,1826,Table 1
s15,2099,Conclusions A B
s15,2330,A B C C D E
s15,2994,A 1
s15,3716,1 2
s16,1826,Table 1 Primers used in this work
s17,564,Conclusions:
s17,603,Keywords:
s17,639,Background
s17,1231,Extraction
s17,1351,Preliminary screening for phytochemicals
s17,1856,"Antioxidant analysis 2,2‑Diphenyl‑ ‑picrylhydrazyl (DPPH) assay"
s17,2180,Antimicrobial assay
s17,2951,Table 1  Climatic and geographical information of sampling area
s17,2984,s )
s17,3089,Locations Alkaloids Saponins Terpenoids Phenolics Flavonoids Tannins
s17,3207,Locations Total flavonoids Quercetin Rutin Kaempferol Catechin Luteolin Myricetin
s17,3264,Data are means of triplicate measurementsdifferent at P < 0.05. The units of total flavonoids and flavonoid compounds are mg quercetin equivalents per gram DM and mg per gram DM standard deviation. Means not sharing a common single letter in each column for each measurement were significantly
s17,3718,Antioxidant activity
s17,3803,Table 4  Linearity and regression equation of the flavonoid and phenolic compounds
s17,3910,Gallic acid 280 2.6 y 864.620x-114.17 0.9928 0.05 0.18
s17,3916,=
s17,5660,Table 8  Minimal inhibitory concentration (MIC) of ethanolextract  of seed  collected  from  different  loca-tions against bacterial strains
s18,1398,Authors’ contributions
s18,1443,Acknowledgements
s18,1488,Competing interests
s18,1515,Ethics approval and consent to participate
s18,1545,Publisher’s Note
s19,631,Keywords
s19,1275,Experimental
s19,1437,(
s19,1524,Plant material
s19,1789,Characterization of silver nanoparticles
s19,1814,(
