pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
4,3292,7,0,0,0,0,0,0,0,0,0,0,ACK,Oyster mushroom,e17
4,3292,7,0,0,0,0,0,0,0,0,0,0,ACK,spp. has been the ability of agro-wastes bio conversation and declining lignin content. The,e17
4,3292,7,0,0,0,0,0,0,0,0,0,0,ACK,experiment was carried out to study the suitability of spent,e17
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,[15] Unal M. The utilization of spent mushroom compost appliedat different rates in tomato (Lycopersicon esculentum Mill.),e17
4,3289,7,0,0,0,0,0,0,0,0,0,0,ACK,seedling production. Emir J Food Agric 2015;27(9):692–7.,e17
4,2946,7,0,0,0,0,0,0,0,0,0,1,ACK,m,e18
5,3598,7,0,0,0,0,0,0,0,0,1,1,ACK,4.1. Descriptive statistics,e22
5,3607,7,0,0,0,0,0,0,0,0,0,1,ACK,References,e25
4,2963,7,0,0,0,0,0,0,0,0,0,1,ACK,3. China topics,e28
5,3894,7,0,0,0,0,0,0,0,0,0,1,ACK,0.597,e35
5,3894,7,0,0,0,0,0,0,0,0,0,1,ACK,0.312,e35
5,3892,7,0,0,0,0,0,0,0,0,0,1,ACK,0.309,e35
5,3894,7,0,0,0,0,0,0,0,0,0,1,ACK,0.553,e35
4,2853,7,0,0,0,0,0,0,0,0,0,1,ACK,"23  Leah Ceccarelli,",e37
4,2853,7,0,0,0,0,0,0,0,0,1,1,ACK,"ShapingScience with Rhetoric: The Casesof Dobzhansky, Schrödinger, andWilson",e37
4,2853,7,0,0,0,0,0,0,0,0,0,1,ACK,"(Chicago: The University ofChicago Press, 2001).",e37
4,2909,7,0,0,0,0,0,0,0,0,0,1,ACK,"24  Ibid.,168–83.",e37
4,2925,7,0,0,0,0,0,0,0,0,0,1,ACK,"25  Klaus Krippendorff, “Proposi-tions of Human-Centeredness: APhilosophy for Design,” in",e37
4,2925,7,0,0,0,0,0,0,0,0,1,1,ACK,"Doctor-al Education in Design: Foundationsfor the future: Proceedings of theconference held 8–12 July 2000, LaClusaz,",e37
4,2925,7,0,0,0,0,0,0,0,0,0,1,ACK,"France, ed. David Durlingand Ken Friedman (Stoke-on-Trent: Staffordshire UniversityPress, 2000): 56.",e37
5,3563,7,0,0,0,0,0,0,0,0,0,1,ACK,"29  Albert Einstein,",e37
5,3563,7,0,0,0,0,0,0,0,0,1,1,ACK,Einstein’sMiraculous Year: Five Papers thatChanged the Face of Physics,e37
5,3563,7,0,0,0,0,0,0,0,0,0,1,ACK,",edited and introduced by JohnStachel (Princeton: PrincetonUniversity Press, 1998), 71–98.",e37
6,5014,9,0,0,0,0,0,0,0,0,0,1,ACK,"In a recent interview for the China Global Television Network, Martin Jacques",e37
6,5014,9,0,0,0,0,0,0,0,0,0,1,ACK,stated that we are asking the wrong question if we ask when China will begin to in-novate.,e37
6,5014,9,0,0,0,0,0,0,0,0,0,1,ACK,"In his interview, Jacques argues that China has become a hub of significantinnovation in many fields. It is now the world leader in areas such as computing, and",e37
6,5014,9,0,0,0,0,0,0,0,0,0,1,ACK,a powerhouse for several kinds of advanced manufacturing.,e37
5,3562,7,0,0,0,0,0,0,0,0,0,1,ACK,"2  For example, see Nigel Cross, “Designerly Ways of Knowing,”",e44
5,3572,7,0,0,0,0,0,0,0,0,1,1,ACK,Design Studies,e44
5,3572,7,0,0,0,0,0,0,0,0,0,1,ACK,"3, no. 4 (1982): 221–27, DOI:",e44
