pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
8,6447,8,0,0,0,0,0,0,0,0,0,1,RE,Table 6.,m11
12,10319,7,0,0,0,0,0,0,0,0,0,0,RE,=,m12
12,10319,7,0,0,0,0,0,0,0,0,0,0,RE,1,m12
12,10325,7,0,0,0,0,0,0,0,0,0,0,RE,(cid:48),m12
12,10327,7,0,0,0,0,0,0,0,0,0,0,RE,",",m12
12,10325,7,0,0,0,0,0,0,0,0,0,0,RE,(cid:48),m12
12,10328,7,0,0,0,0,0,0,0,0,0,0,RE,",",m12
12,10319,7,0,0,0,0,0,0,0,0,0,0,RE,=,m12
12,10319,7,0,0,0,0,0,0,0,0,0,0,RE,1,m12
12,10328,9,0,0,0,0,0,0,0,0,0,0,RE,-24,m12
19,16810,9,0,0,0,0,0,0,0,0,0,1,RE,6. Conclusions,m12
23,19775,8,0,0,0,0,0,0,0,0,0,1,RE,2006,m12
23,19801,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m12
23,19827,8,0,0,0,0,0,0,0,0,0,1,RE,1995,m12
23,19853,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m12
23,19879,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m12
23,19892,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m12
23,19956,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m12
23,19969,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m12
11,9053,7,0,0,0,0,0,0,0,0,0,0,RE,Separations,m15
11,9053,7,0,0,0,0,0,0,0,0,0,0,RE,2018,m15
11,9053,7,0,0,0,0,0,0,0,0,0,0,RE,",",m15
11,9053,7,0,0,0,0,0,0,0,0,0,0,RE,5,m15
11,9053,7,0,0,0,0,0,0,0,0,0,0,RE,", x FOR PEER REVIEW  11 of 15",m15
13,11436,9,0,0,0,0,0,0,0,0,0,1,RE,References,m15
12,10398,9,0,0,0,0,0,0,0,0,0,1,RE,Abbreviations,m16
7,5583,8,0,0,0,0,0,0,0,0,0,1,RE,2008,m17
8,6423,8,0,0,0,0,0,0,0,0,0,1,RE,2012,m17
8,6436,8,0,0,0,0,0,0,0,0,0,1,RE,2012,m17
8,6449,8,0,0,0,0,0,0,0,0,0,1,RE,2000,m19
8,6449,8,0,0,0,0,0,0,0,0,0,1,RE,1982,m19
8,6449,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m19
6,4734,8,0,0,0,0,0,0,0,0,0,1,RE,Author Contributions:,m20
7,5583,8,0,0,0,0,0,0,0,0,0,1,RE,1998,m20
14,11758,9,0,0,0,0,0,0,0,0,0,1,RE,Nomenclature,m21
14,12274,9,0,0,0,0,0,0,0,0,0,1,RE,References,m21
11,9051,12,0,0,0,0,0,0,0,0,0,0,RE,Figure 5.,m22
11,9051,12,0,0,0,0,0,0,0,0,0,0,RE,Apparent viscosity,m22
11,9051,12,0,0,0,0,0,0,0,0,0,0,RE,versus,m22
11,9051,12,0,0,0,0,0,0,0,0,0,0,RE,shear rate plot for 59.61% vol. O/W emulsion.,m22
12,10329,12,0,0,0,0,0,0,0,0,0,0,RE,Consistency index (K)of non-Newtonianemulsions,m22
8,7030,9,0,0,0,0,0,0,0,0,0,0,RE,(5) The values of skin friction coefﬁcient and local Nusselt number increases with the increase of Pr.,m23
12,10478,9,0,0,0,0,0,0,0,0,0,1,RE,4. Conclusions,m24
13,11418,9,0,0,0,0,0,0,0,0,0,1,RE,Nomenclature,m24
15,12627,9,0,0,0,0,0,0,0,0,0,1,RE,References,m24
8,6423,8,0,0,0,0,0,0,0,0,0,1,RE,2005,m25
14,11798,9,0,0,0,0,0,0,0,0,0,1,RE,4. Conclusions,m29
15,12760,9,0,0,0,0,0,0,0,0,0,1,RE,References,m29
10,8542,9,0,0,0,0,0,0,0,0,0,1,RE,4. Conclusions,m30
8,6449,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m32
5,3157,7,0,0,0,0,0,0,0,0,0,1,RE,2016,m33
9,7606,9,0,0,0,0,0,0,0,0,0,1,RE,References,m34
13,10316,7,0,0,0,0,0,0,0,0,0,0,RE,",",m35
13,10316,7,0,0,0,0,0,0,0,0,0,0,RE,", 8",m35
13,10316,7,0,0,0,0,0,0,0,0,0,0,RE,13 of 43,m35
26,20000,8,0,0,0,0,0,0,0,0,0,1,RE,Reference,m35
26,20000,8,0,0,0,0,0,0,0,0,0,1,RE,Analytes,m35
26,20000,8,0,0,0,0,0,0,0,0,0,1,RE,Sample,m35
26,20000,8,0,0,0,0,0,0,0,0,0,1,RE,Sample Preparation,m35
26,19995,8,0,0,0,0,0,0,0,0,0,1,RE,AnalyticalTechnique,m35
26,19995,8,0,0,0,0,0,0,0,0,0,1,RE,"LOD, LOQ, CC",m35
26,19995,8,0,0,0,0,0,0,0,0,0,1,RE,",CC",m35
26,20000,8,0,0,0,0,0,0,0,0,0,1,RE,Recovery %,m35
26,19971,8,0,0,0,0,0,0,0,0,0,1,RE,Table 4.,m35
38,29632,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
38,29632,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
38,29722,8,0,0,0,0,0,0,0,0,0,1,RE,2012,m35
38,29787,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
39,30053,7,0,0,0,0,0,0,0,0,0,1,RE,2016,m35
39,30100,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m35
39,30177,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
39,30242,8,0,0,0,0,0,0,0,0,0,1,RE,2000,m35
39,30358,8,0,0,0,0,0,0,0,0,0,1,RE,2003,m35
39,30422,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
39,30474,8,0,0,0,0,0,0,0,0,0,1,RE,2011,m35
39,30539,8,0,0,0,0,0,0,0,0,0,1,RE,2009,m35
39,30603,8,0,0,0,0,0,0,0,0,0,1,RE,2006,m35
39,30629,8,0,0,0,0,0,0,0,0,0,1,RE,2009,m35
39,30681,8,0,0,0,0,0,0,0,0,0,1,RE,2011,m35
39,30681,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
40,30944,7,0,0,0,0,0,0,0,0,0,1,RE,2016,m35
40,30979,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
40,31018,8,0,0,0,0,0,0,0,0,0,1,RE,2012,m35
40,31056,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m35
40,31095,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m35
40,31134,8,0,0,0,0,0,0,0,0,0,1,RE,2005,m35
40,31172,8,0,0,0,0,0,0,0,0,0,1,RE,2006,m35
40,31211,8,0,0,0,0,0,0,0,0,0,1,RE,2012,m35
40,31250,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
40,31289,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
40,31289,8,0,0,0,0,0,0,0,0,0,1,RE,2005,m35
40,31366,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
40,31418,8,0,0,0,0,0,0,0,0,0,1,RE,2008,m35
40,31418,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
40,31469,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m35
40,31508,8,0,0,0,0,0,0,0,0,0,1,RE,2008,m35
40,31547,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
40,31547,8,0,0,0,0,0,0,0,0,0,1,RE,2009,m35
40,31624,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
41,31836,7,0,0,0,0,0,0,0,0,0,1,RE,2016,m35
41,31871,8,0,0,0,0,0,0,0,0,0,1,RE,2008,m35
41,31871,8,0,0,0,0,0,0,0,0,0,1,RE,2012,m35
41,31961,8,0,0,0,0,0,0,0,0,0,1,RE,2006,m35
41,32000,8,0,0,0,0,0,0,0,0,0,1,RE,2005,m35
41,32000,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
41,32090,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m35
41,32142,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m35
41,32142,8,0,0,0,0,0,0,0,0,0,1,RE,2007,m35
41,32142,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
41,32142,8,0,0,0,0,0,0,0,0,0,1,RE,2011,m35
41,32271,8,0,0,0,0,0,0,0,0,0,1,RE,2011,m35
41,32271,8,0,0,0,0,0,0,0,0,0,1,RE,2006,m35
41,32271,8,0,0,0,0,0,0,0,0,0,1,RE,2009,m35
41,32400,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
41,32413,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m35
41,32452,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m35
41,32490,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
42,32728,7,0,0,0,0,0,0,0,0,0,1,RE,2016,m35
42,32763,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
42,32814,8,0,0,0,0,0,0,0,0,0,1,RE,2005,m35
42,32814,8,0,0,0,0,0,0,0,0,0,1,RE,2012,m35
42,32866,8,0,0,0,0,0,0,0,0,0,1,RE,2005,m35
42,32905,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
42,32943,8,0,0,0,0,0,0,0,0,0,1,RE,2010,m35
42,32982,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
42,33021,8,0,0,0,0,0,0,0,0,0,1,RE,2006,m35
42,33060,8,0,0,0,0,0,0,0,0,0,1,RE,2005,m35
42,33098,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m35
42,33098,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
42,33189,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
42,33240,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
42,33240,8,0,0,0,0,0,0,0,0,0,1,RE,2014,m35
42,33331,8,0,0,0,0,0,0,0,0,0,1,RE,2011,m35
42,33369,8,0,0,0,0,0,0,0,0,0,1,RE,2013,m35
43,33620,7,0,0,0,0,0,0,0,0,0,1,RE,2016,m35
43,33654,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
43,33693,8,0,0,0,0,0,0,0,0,0,1,RE,2006,m35
43,33745,8,0,0,0,0,0,0,0,0,0,1,RE,2011,m35
43,33758,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
43,33809,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
43,33861,8,0,0,0,0,0,0,0,0,0,1,RE,2009,m35
43,33900,8,0,0,0,0,0,0,0,0,0,1,RE,2015,m35
10,8776,9,0,0,0,0,0,0,0,0,0,1,RE,References,m36
12,10328,10,0,0,0,0,0,0,0,0,0,0,RE,=,m37
12,10328,9,0,0,0,0,0,0,0,0,0,0,RE,6 mA and,m37
14,11933,9,0,0,0,0,0,0,0,0,0,1,RE,5. Conclusions,m37
15,12785,9,0,0,0,0,0,0,0,0,0,1,RE,Abbreviation,m37
15,13265,9,0,0,0,0,0,0,0,0,0,1,RE,References,m37
18,15660,9,0,0,0,0,0,0,0,0,0,1,RE,q,m38
8,6341,12,0,0,0,0,0,0,0,0,0,1,RE,2015,m39
8,6341,12,0,0,0,0,0,0,0,0,0,1,RE,387,m39
8,6595,12,0,0,0,0,0,0,0,0,0,1,RE,Figure 5.,m39
8,6595,12,0,0,0,0,0,0,0,0,0,1,RE,a,m39
8,6595,12,0,0,0,0,0,0,0,0,0,1,RE,b,m39
8,6595,12,0,0,0,0,0,0,0,0,0,1,RE,c,m39
