pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,Yan Ma,s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Tobias Kind",s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Arpana Vaniya",s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Ingrid Gennity",s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,", Johannes F. Fahrmann",s11
1,171,11,0,0,0,0,0,0,0,0,0,0,AU,and Oliver Fiehn,s11
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,Efficient N Ncube,s12
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Msizi I Mhlongo",s12
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Lizelle A Piater",s12
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Paul A Steenkamp",s12
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Ian A Dubery",s12
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,and Ntakadzeni E Madala,s12
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,Jersson Plácido,s13
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,and Sergio Capareda,s13
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,Bi-Wen Zhu,s14
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Liang Cai",s14
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Xiao-Peng He",s14
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Guo-Rong Chen and Yi-Tao Long",s14
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,Antoine Honoré Lonfouo Nkuété,s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Victor Kuete",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Davide Gozzini",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Ludovico Migliolo",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Aline Lima Oliveira",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,",Hippolyte K Wabo",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Pierre Tane",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Giovanni Vidari",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,", Thomas Efferth",s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,and Octávio Luiz Franco,s15
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,"Ting Yu, Xin Gao, Yuhong Ren",s16
1,172,11,0,0,0,0,0,0,0,0,0,0,AU,and Dongzhi Wei,s16
1,271,10,0,0,0,0,0,0,0,0,0,1,AU,Abstract,s16
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,Ali Ghasemzadeh,s17
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,", Hawa Z. E. Jaafar",s17
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,", Mohamad Fhaizal Mohamad Bukhori",s17
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,", Mohd Hafizad Rahmat",s17
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,and Asmah Rahmat,s17
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,", Asad Ullah",s18
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,", Salim S. Al‑showiman",s18
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,and Yahia Nasser Mabkhot,s18
1,170,11,0,0,0,0,0,0,0,0,0,0,AU,Syed Lal Badshah,s18
1,247,10,0,0,0,0,0,0,0,0,0,1,AU,Abstract,s18
1,247,10,0,0,0,0,0,0,0,0,0,0,AU,"This commentary highlights the recent work published in journal Nature on the structural based discovery of novelanalgesic compounds for opioid receptors with minimal effects. Manglik et al. selectively targeted the Gi based μORpathway instead of the β‑arrestin pathway of the opioids. The computational screening of millions of compoundsshowed a list of several competent ligands. From these ligands they synthesized the compounds with the bestdocking score, which were further optimized by adding side residues for better interaction with the μOR. A promis‑ing compound, PZM21, was a selective agonist of μOR. It has better analgesic properties with minimal side effects ofrespiratory depression and constipation. This work is a step towards better drug designing and synthesizing in termsof efficacy, specificity with least side effects of targeted GPCR proteins present in the human proteome.",s18
1,397,10,0,0,0,0,0,0,0,0,0,1,AU,Introduction,s18
