filename,top,Text
a1,2214,2.1. Use Case Template
a1,3895,2.2. Restriction Rules
a1,5479,3.1. Experiment Deﬁnition
a1,6530,3.3. Hypotheses Formulation
a1,7157,3.4. Experiment Design
a1,8586,3.5. Instrumentation
a1,11508,3.6. Evaluation Measurement and Data Collection
a1,17179,4.1. Usage of Restriction Rules
a1,18960,4.2. Quality of Analysis Models
a1,23069,4.3. Summary of Analysis Results
a1,23960,5.1. Threats to Validity
a1,24879,5.2. Practical Implications and Limitations
a1,25809,6.1. Use Case Template
a1,26781,6.2. Restriction Rules
a1,27448,6.3. Empirical Evaluation
a10,15643,6.1 Markov Logic Networks in PPDL
a10,20263,6.2 Stochastic Context-Free Grammars in PPDL
a10,23265,7.4 Recursion Models
a11,25961,"(3) If w ∈ (cid:2) T (cid:3) , then we apply again steps (1) and (2) until we get a word w (cid:5) (cid:2) T (cid:3) ."
a13,1839,"Secondly, we adapt the CF approach to personalized POI recommendation with aranking-based matrix factorization technique. Due to the lack of explicit preferenceratings on POIs, we leverage the number of a user’s uploaded or favored photos fora POI as a proxy to quantify his/her preference degree on that POI. The underlyingassumption is that a high uploading or favoring frequency can be interpreted in away that a user repeatedly conﬁrms his/her preference [Wang et al. 2014; Shi et al.2013]. Several prior efforts focus on approximating the observed preference scores [Shiet al. 2013; Phan et al. 2014]. In practice, however, users do not care about the speciﬁcscores, but about a compact recommendation list of POIs. Inspired by this, we proposeto generate the relative ranking of users’ preferences on POIs. The matrix factorizationtechnique is applied to learn latent factors of users and POIs from a large number ofpairwise preference relations with varying degrees of importance, which are inducedvia the comparison of two POIs. It is worth noting that, in our approach, both POIswith and without observed preference mutually reinforce the learning process, whichhelps further reduce the effects of data sparseness."
a13,7194,(cid:3)
a13,7499,p u i j u i j u i j c u i j p u i j
a13,7598,r r b b r x x
a13,11151,PopRank
a13,11194,UCF
a13,11227,ATM
a13,11260,WMF
a13,11304,GeoMF
a13,15642,REFERENCES
a14,3957,u x x
a14,6414,"—The initial prices are low enough prices that each buyer can afford all the goods.Fixing prices at 1 / sufﬁces, since the goods together cost one unit and all ’sare integral."
a14,6505,u
a14,6538,N e p
a14,8137,S A S S S S S S B m S B x m S S S s S S S m S
a14,10226,Market Equilibrium via a Primal–Dual Algorithm for a Convex Program
a14,10255,. Establishing Polynomial Running Time f N surplus i f i t f e i t
a14,10743,a b a a
a14,10746,b
a15,2338,q p q
a15,3230,G SG n G n SG
a15,3895,3.1. The Greedy Algorithm on AND/OR Graphs
a15,6200,p q
a15,6386,n
a15,6414,"The start node of ( , , (cid:2) ) is (cid:12) , , (cid:14) , λ (cid:13) . The successor function is given by the oper-ators in Table II. The operators generate the outgoing arcs and the successor nodes ofeach node. The operators with the form"
a15,7423,SG G p q
a15,10754,Deﬁnition h : Heuristic Function n p q u p q p q q p h p S h q S
a15,10775,u u u u
a15,19061,6. CONCLUSION AND FUTURE WORK
a17,1026,m read x;
a17,1027,for(i=1;i<=3;i++) lock lm unlock lm()m()
a17,1156,N N N
a17,1568,This corresponds to a 0.01sec execution of a Bank benchmark in Wang et al. [2009] with 135 lines of code.
a17,1871,m1 m1 m2 m2
a17,4524,e e e e T e e T e e T e e T e T e T e T e T e l t t e e e e e e e e e e e e e e
a17,4711,"In this section, we present a generalized detection model for the PTA of concurrencyaccess anomalies. The model consists of a generalized pattern speciﬁcation of accessanomalies and the corresponding PTA algorithm. This generalization is crucial for usto reason about event redundancy with respect to the nature of PTA algorithms and afoundation for the wide applicability of our redundancy criteria."
a17,5504,Lockset L L Happens-before e e e e
a18,1535,"Public IaaS services rely on a wealth of computing systems, including web inter- faces, specialized virtualization hardware, and systems software. To make this sur-vey tractable, we restrict ourselves to considering security mechanisms and academicwork that is speciﬁc to public IaaS clouds, as opposed to computer systems security in"
a18,2261,Hypervisor.
a18,2798,Customers and users.
a18,3617,Availability.
a18,5389,✗✗✗✗✗✗✗✗✗✗✗✗✗✗
a18,13858,Caches timing channels.
a18,16409,"Research on the integrity, availability, and durability of customer data in the cloud canbe classiﬁed into two categories: security in storage clouds and security in computeclouds. Research on the security of data in storage clouds can be further categorizedas approaches using Proof of Retrieval (POR) and Provable Data Possession (PDP)and systems approaches to guarantee the integrity, availability, and durability of cus-tomer data. Research on the security of data in compute clouds involves securing theunderlying hypervisor and can be classiﬁed into proposals that detect a compromisedhypervisor, proposals that harden the hypervisor against compromise, and proposalsthat protect customer VMs against a compromised hypervisor."
a18,18914,4.3. Contractual Security
a18,20539,"One way the academic literature can have an inﬂuence over industry practice is todemonstrate the feasibility of certain attacks. For example, one attack that academiahas shown to be practical and occurring in the wild is the threat of malicious VMimages, as well as the threat of conﬁdential information leakage via shared VM images.These threats have been conﬁrmed both by measurement performed by academics onimages in Amazon’s Marketplace and by Amazon itself, which acknowledges themin its documentation. Another example is the aforementioned leakage of sensitiveinformation over various side channels that exist between physically co-located VMs,which has partially resulted in a number of CSPs offering dedicated VM instances fora small premium."
a2,4998,3.2 Static Analysis
a2,5794,3.4 Other Oracles
a2,6777,3.6 Fault Classes and Repair
a2,8283,4.2 Checkpoint and Rollback
a2,11160,6.1 Forward Engineering for Repair
a20,2915,/ .. / / .. /
a20,2987,>
a20,4834,— — — — — — — —
a20,5308,> >
a20,8032,// ..
a20,8044,// ..
a20,8146,// ..
a20,8587,3.2. Annotation Patterns of Table II
a20,18899,public class implements
a20,18966,public public int return public int return
a20,19051,"5. EXPERIENCE (RQ4, RQ5)"
a20,23008,public class public interface public int public interface public int public class
a20,23049,public static void
a20,23069,if is
a20,23942,throw new
a20,23952,return null
a20,27379,public class public interface public class
a20,27410,public static native int int
a20,27429,static
a20,27468,public static int ﬁnal int int
a20,27478,int if instanceof
a20,27500,for int
a20,27520,if
a20,27540,else
a20,27568,return
a20,28115,int int
a20,28127,return
a20,28455,"6.3. Mock Classes Inferred from Test Executions: Test Carving, Capture and Replay"
a21,3061,"(2) H now supports word equations (equalities and disequalities) over string terms.(3) H now allows variable-sized strings to be declared.(4) H now supports a substring extraction operation.(5) H now allows multiple input string variables, simulating this feature by using"
a21,4659,string variable
a21,6314,cfg
a21,6474,reg
a21,10748,bv bv bv bv D D
a21,11488,4.2. Constraint Templates
a21,19018,6.1. Practical Solvers for String Constraints
a22,2843,q q
a22,3334,q consistent ﬁrst-order rewriting q q q q
a22,3566,P coNP FO
a22,4489,Boolean conjunctive queries Boolean query q q q q satisfy q q q
a22,5677,r
a22,5896,"uncertain database. Then, every repair of satisﬁes q if and only if every (cid:19) repair of satisﬁes q."
a22,6520,Let ∈ sjfBCQ . We deﬁne K ( ) as the following set of functional dependencies:
a22,10222,u
a22,10223,u H
a22,10225,u
a22,10251,a a b b a a b b H F H F H
a22,10254,H
a22,10916,r r r r r db r r
a22,10989,db db
a22,11155,Basis
a22,11177,Step
a22,11274,FO
a22,11305,db
a22,16623,7. POLYNOMIAL-TIME TRACTABILITY
a23,1735,nario in order to select the right reputation system among them.
a23,3656,badmouthin collusive manipulating of reputation oscillating behavior traitors attack
a23,8134,2.3.1.1. Threat Analysis-Based Theoretic Evaluation.
a23,12976,Flexibility
a24,2338,x y r.e. x y x y x y y x rarity x x x x f f f x x r.e. x x x x x x x
a24,2812,I I I I
a24,3579,I d M M M M M M d
a24,3767,T O x
a25,3579,(cid:6)
a25,5798,"2. For each PCA-compressed feature (DSIFT, MLBP, or BIF) with D components, randomlyselect K components from the D components with K ≈ 0 . 8 D . Here, D is the dimension offeatures to selected from, and K is dimension of sampled features (e.g., random subfeatures).3. Combine the selected components (from the three kinds of feature descriptors) into a new"
a25,5895,ing this training set as ˆ X .
a26,15647,7. SUMMARY AND FUTURE WORK
a26,15784,REFERENCES
a27,4998,. We now propose an indexing framework for probabilistic
a27,7194,"In other words, Theorem 4.3 states that the independent subgraph approach is the manner in which a lossless indexing system can be obtained for a probabilisticgraph, at least for undirected graphs. The case of directed graphs is more complex;the tools that we use (in particular, tree decompositions) are more robust and betterunderstood in the setting of undirected graphs [Robertson and Seymour 1984] than inthat of directed ones [Safari 2005]. For that reason, we leave open the possibility ofusing techniques that exploit directedness of edges to obtain better indexing systems,in the case of directed graphs, than techniques based on the independent subgraphapproach."
a27,16013,6.4. Analysis for w 2
a27,16383,7. LINEAGE TREES
a27,20536,"The space overhead of I (Figure 8) is also reasonable. Generally, the ProbTree forFWD w (cid:2) 2 and SPQR only incurs between 10% (W ) and double (N ) space overheadcompared to the space cost of the original graph. As expected, the LIN decompositionsfor the road networks increase signiﬁcantly in size compared to their original graphsize, even reaching a few gigabytes in the case of C and E , and up to 10 timesin the size of the original graph in the case of E . Since the higher widths of thetree decompositions no longer retain the linear size increase property, that is, canbe quadratic in the original size, this is not surprising. Nevertheless, the query timesavings of the lossless decompositions of E , N , and C are very important, as weshall see next."
a28,2136,Private cloud
a28,2563,cloud provider external cloud providers
a28,3408,white-box black-box
a28,4833,"For the preceding reasons, it is beneﬁcial to place VMs that communicate intensivelywith each other on the same PM, or at least within the same DC [Beloglazov andBuyya 2010b]. On the other hand, VMs that belong to the same application may exhibitcorrelation between their loads, increasing the probability that they will peak at the same time; this also has to be considered carefully in the VM allocation [Verma et al.2009]."
